<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
ICE.BRN;D;03/01/12;00:00;108.3500000;112.4400000;108.3500000;112.0700000
ICE.BRN;D;04/01/12;00:00;112.1000000;113.9700000;111.2700000;113.4600000
ICE.BRN;D;05/01/12;00:00;113.5000000;114.6400000;112.1000000;112.2600000
ICE.BRN;D;06/01/12;00:00;112.5300000;113.6800000;112.0300000;113.5200000
ICE.BRN;D;08/01/12;00:00;113.3200000;113.6300000;113.3200000;113.5600000
ICE.BRN;D;09/01/12;00:00;113.4200000;113.8800000;111.8000000;112.1000000
ICE.BRN;D;10/01/12;00:00;112.3700000;113.7600000;112.3000000;113.0800000
ICE.BRN;D;11/01/12;00:00;112.9000000;113.3800000;111.7500000;112.4900000
ICE.BRN;D;12/01/12;00:00;112.4000000;114.7700000;110.1300000;110.9700000
ICE.BRN;D;13/01/12;00:00;111.0700000;112.2400000;109.6900000;110.9100000
ICE.BRN;D;15/01/12;00:00;110.6200000;110.6600000;110.5500000;110.6400000
ICE.BRN;D;16/01/12;00:00;110.5600000;111.6000000;110.5300000;111.3700000
ICE.BRN;D;17/01/12;00:00;111.4200000;112.7600000;110.5600000;111.5700000
ICE.BRN;D;18/01/12;00:00;111.5300000;112.2000000;110.3300000;110.9700000
ICE.BRN;D;19/01/12;00:00;111.1000000;111.7500000;110.3700000;111.4200000
ICE.BRN;D;20/01/12;00:00;111.5300000;112.0600000;109.4200000;110.2300000
ICE.BRN;D;22/01/12;00:00;109.9800000;109.9800000;109.5000000;109.5400000
ICE.BRN;D;23/01/12;00:00;109.5800000;111.3600000;109.2300000;110.9400000
ICE.BRN;D;24/01/12;00:00;110.8400000;111.1100000;109.7000000;110.3300000
ICE.BRN;D;25/01/12;00:00;110.2200000;110.8800000;108.9100000;110.5500000
ICE.BRN;D;26/01/12;00:00;110.4500000;111.8900000;110.2700000;111.1000000
ICE.BRN;D;27/01/12;00:00;110.8900000;111.9900000;110.4900000;111.3000000
ICE.BRN;D;29/01/12;00:00;111.5000000;111.6600000;111.3000000;111.5300000
ICE.BRN;D;30/01/12;00:00;111.6000000;111.7800000;110.2500000;110.9800000
ICE.BRN;D;31/01/12;00:00;110.9800000;113.9000000;110.5000000;111.1600000
