<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BANE,D,03/01/12,00:00:00,1349.9000000,1380.0000000,1335.0000000,1380.0000000,6154
BANE,D,04/01/12,00:00:00,1380.0000000,1380.0000000,1370.0000000,1375.6000000,2200
BANE,D,05/01/12,00:00:00,1370.1000000,1385.0000000,1370.0000000,1374.9000000,539
BANE,D,06/01/12,00:00:00,1370.1000000,1384.0000000,1370.1000000,1380.0000000,1169
BANE,D,09/01/12,00:00:00,1380.0000000,1380.0000000,1360.0000000,1370.0000000,914
BANE,D,10/01/12,00:00:00,1380.0000000,1390.0000000,1365.1000000,1381.0000000,10835
BANE,D,11/01/12,00:00:00,1375.0000000,1385.0000000,1371.1000000,1375.6000000,1053
BANE,D,12/01/12,00:00:00,1380.0000000,1400.0000000,1370.3000000,1375.0000000,519
BANE,D,13/01/12,00:00:00,1373.7000000,1400.0000000,1365.0000000,1389.0000000,24919
BANE,D,16/01/12,00:00:00,1389.9000000,1415.0000000,1372.0000000,1405.0000000,8437
BANE,D,17/01/12,00:00:00,1408.0000000,1434.1000000,1408.0000000,1425.0000000,2619
BANE,D,18/01/12,00:00:00,1434.1000000,1456.9000000,1405.0000000,1454.9000000,16199
BANE,D,19/01/12,00:00:00,1454.9000000,1494.9000000,1445.0000000,1465.0000000,21143
BANE,D,20/01/12,00:00:00,1468.7000000,1500.0000000,1468.7000000,1489.2000000,26194
BANE,D,23/01/12,00:00:00,1480.1000000,1499.0000000,1480.0000000,1494.0000000,33454
BANE,D,24/01/12,00:00:00,1495.0000000,1528.0000000,1494.9000000,1495.0000000,8930
BANE,D,25/01/12,00:00:00,1495.2000000,1529.7000000,1490.0000000,1510.0000000,11785
BANE,D,26/01/12,00:00:00,1535.1000000,1540.0000000,1510.0000000,1519.9000000,50219
BANE,D,27/01/12,00:00:00,1519.9000000,1525.0000000,1490.0000000,1505.0000000,28765
BANE,D,30/01/12,00:00:00,1495.0000000,1510.0000000,1495.0000000,1495.0000000,1360
BANE,D,31/01/12,00:00:00,1514.0000000,1550.0000000,1510.0000000,1550.0000000,6122
BANE,D,01/02/12,00:00:00,1510.2000000,1650.0000000,1500.1000000,1569.9000000,12702
BANE,D,02/02/12,00:00:00,1560.1000000,1575.0000000,1510.0000000,1512.0000000,10968
BANE,D,03/02/12,00:00:00,1517.0000000,1550.0000000,1505.0000000,1550.0000000,16225
BANE,D,06/02/12,00:00:00,1550.0000000,1570.0000000,1536.0000000,1537.0000000,17461
BANE,D,07/02/12,00:00:00,1537.0000000,1600.0000000,1535.0000000,1580.0000000,17451
BANE,D,08/02/12,00:00:00,1595.0000000,1645.0000000,1595.0000000,1635.0000000,55634
BANE,D,09/02/12,00:00:00,1634.0000000,1660.0000000,1632.0000000,1648.0000000,54908
BANE,D,10/02/12,00:00:00,1652.0000000,1705.0000000,1635.1000000,1704.0000000,74005
BANE,D,13/02/12,00:00:00,1730.0000000,1755.0000000,1720.0000000,1752.0000000,54656
BANE,D,14/02/12,00:00:00,1750.0000000,1760.0000000,1745.0000000,1749.0000000,29777
BANE,D,15/02/12,00:00:00,1749.9000000,1759.9000000,1720.0000000,1727.2000000,26952
BANE,D,16/02/12,00:00:00,1738.2000000,1743.0000000,1719.9000000,1720.0000000,24743
BANE,D,17/02/12,00:00:00,1710.0000000,1734.7000000,1709.9000000,1730.0000000,46535
BANE,D,20/02/12,00:00:00,1755.0000000,1755.0000000,1725.1000000,1730.0000000,17324
BANE,D,21/02/12,00:00:00,1731.0000000,1733.0000000,1720.0000000,1730.8000000,4105
BANE,D,22/02/12,00:00:00,1744.9000000,1759.9000000,1720.0000000,1728.0000000,11120
BANE,D,24/02/12,00:00:00,1744.9000000,1745.0000000,1720.0000000,1726.0000000,29872
BANE,D,27/02/12,00:00:00,1744.9000000,1755.0000000,1725.0000000,1755.0000000,44922
BANE,D,28/02/12,00:00:00,1754.0000000,1787.1000000,1750.0000000,1780.0000000,53901
BANE,D,29/02/12,00:00:00,1780.0000000,1827.7000000,1780.0000000,1822.5000000,29480
BANE,D,01/03/12,00:00:00,1820.1000000,1829.9000000,1805.0000000,1825.0000000,7499
BANE,D,02/03/12,00:00:00,1829.9000000,1899.8000000,1829.9000000,1877.9000000,12481
BANE,D,05/03/12,00:00:00,1947.9000000,1947.9000000,1880.0000000,1899.9000000,5868
BANE,D,06/03/12,00:00:00,1890.8000000,1890.8000000,1799.9000000,1835.0000000,36768
BANE,D,07/03/12,00:00:00,1825.0000000,1859.9000000,1825.0000000,1839.8000000,7697
BANE,D,11/03/12,00:00:00,1885.0000000,1885.0000000,1811.0000000,1830.0000000,3039
BANE,D,12/03/12,00:00:00,1850.0000000,1999.9000000,1834.0000000,1870.0000000,37241
BANE,D,13/03/12,00:00:00,1875.0000000,1899.2000000,1832.0000000,1861.0000000,25120
BANE,D,14/03/12,00:00:00,1865.0000000,1875.0000000,1850.0000000,1851.2000000,25426
BANE,D,15/03/12,00:00:00,1852.9000000,1854.0000000,1820.0000000,1822.1000000,9373
BANE,D,16/03/12,00:00:00,1800.1000000,1800.1000000,1607.2000000,1760.0000000,52879
BANE,D,19/03/12,00:00:00,1750.5000000,1774.9000000,1720.0000000,1759.6000000,16890
BANE,D,20/03/12,00:00:00,1759.9000000,1759.9000000,1730.0000000,1730.0000000,4503
BANE,D,21/03/12,00:00:00,1730.0000000,1735.0000000,1720.0000000,1720.0000000,12001
BANE,D,22/03/12,00:00:00,1715.1000000,1733.8000000,1715.0000000,1719.0000000,3977
BANE,D,23/03/12,00:00:00,1725.0000000,1740.0000000,1720.0000000,1720.0000000,26797
BANE,D,26/03/12,00:00:00,1719.9000000,1730.0000000,1705.0000000,1725.0000000,4335
BANE,D,27/03/12,00:00:00,1725.0000000,1740.0000000,1705.1000000,1720.0000000,2209
BANE,D,28/03/12,00:00:00,1705.0000000,1720.1000000,1695.0000000,1695.0000000,20136
BANE,D,29/03/12,00:00:00,1690.1000000,1708.0000000,1655.0000000,1655.0000000,16936
BANE,D,30/03/12,00:00:00,1689.9000000,1710.0000000,1670.0000000,1700.0000000,8060
BANE,D,02/04/12,00:00:00,1700.0000000,1709.0000000,1700.0000000,1700.0000000,339
BANE,D,03/04/12,00:00:00,1708.9000000,1715.0000000,1700.0000000,1715.0000000,3033
BANE,D,04/04/12,00:00:00,1715.0000000,1790.0000000,1700.0000000,1724.3000000,3900
BANE,D,05/04/12,00:00:00,1729.9000000,1730.0000000,1690.2000000,1691.0000000,3819
BANE,D,06/04/12,00:00:00,1700.0000000,1730.0000000,1690.0000000,1700.0000000,1448
BANE,D,09/04/12,00:00:00,1700.0000000,1700.0000000,1680.0000000,1695.0000000,7379
BANE,D,10/04/12,00:00:00,1700.1000000,1700.1000000,1685.0000000,1685.0000000,3553
BANE,D,11/04/12,00:00:00,1668.2000000,1699.8000000,1665.0000000,1676.0000000,42599
BANE,D,12/04/12,00:00:00,1676.0000000,1676.0000000,1650.0000000,1652.0000000,6658
BANE,D,13/04/12,00:00:00,1668.0000000,1694.9000000,1666.8000000,1685.0000000,3652
BANE,D,16/04/12,00:00:00,1685.0000000,1715.0000000,1670.4000000,1700.0000000,14801
BANE,D,17/04/12,00:00:00,1700.0000000,1700.0000000,1680.0000000,1680.6000000,3273
BANE,D,18/04/12,00:00:00,1699.8000000,1699.9000000,1679.8000000,1685.0000000,40423
BANE,D,19/04/12,00:00:00,1684.8000000,1698.9000000,1682.5000000,1682.5000000,27594
BANE,D,20/04/12,00:00:00,1679.0000000,1700.1000000,1656.0000000,1700.0000000,14777
BANE,D,23/04/12,00:00:00,1683.0000000,1700.0000000,1683.0000000,1690.0000000,1628
BANE,D,24/04/12,00:00:00,1670.1000000,1679.9000000,1605.0000000,1618.9000000,13120
BANE,D,25/04/12,00:00:00,1618.9000000,1645.9000000,1618.9000000,1630.0000000,11695
BANE,D,26/04/12,00:00:00,1630.0000000,1630.0000000,1552.0000000,1579.9000000,11399
BANE,D,27/04/12,00:00:00,1580.0000000,1635.0000000,1575.0000000,1635.0000000,7911
BANE,D,28/04/12,00:00:00,1635.0000000,1635.0000000,1630.0000000,1630.5000000,689
BANE,D,02/05/12,00:00:00,1639.9000000,1645.0000000,1599.0000000,1599.0000000,7105
BANE,D,03/05/12,00:00:00,1595.0000000,1610.0000000,1590.1000000,1610.0000000,4330
BANE,D,04/05/12,00:00:00,1609.9000000,1623.0000000,1575.0000000,1590.0000000,5331
BANE,D,05/05/12,00:00:00,1575.9000000,1598.7000000,1575.0000000,1580.1000000,1381
BANE,D,07/05/12,00:00:00,1555.1000000,1599.0000000,1555.0000000,1598.9000000,198
BANE,D,08/05/12,00:00:00,1598.0000000,1619.8000000,1584.0000000,1586.7000000,632
BANE,D,10/05/12,00:00:00,1589.9000000,1590.0000000,1575.0000000,1575.0000000,6513
BANE,D,11/05/12,00:00:00,1581.5000000,1583.5000000,1570.0000000,1570.0000000,2847
BANE,D,12/05/12,00:00:00,1583.5000000,1597.8000000,1579.0000000,1585.0000000,1183
BANE,D,14/05/12,00:00:00,1580.0000000,1589.9000000,1570.9000000,1571.0000000,7505
BANE,D,15/05/12,00:00:00,1573.0000000,1630.0000000,1570.0000000,1589.9000000,7705
BANE,D,16/05/12,00:00:00,1505.0000000,1535.0000000,1495.0000000,1495.0000000,8934
BANE,D,17/05/12,00:00:00,1500.0000000,1500.0000000,1475.0000000,1475.0000000,1635
BANE,D,18/05/12,00:00:00,1450.0000000,1499.0000000,1450.0000000,1490.0000000,3998
BANE,D,21/05/12,00:00:00,1534.3000000,1567.2000000,1534.3000000,1567.2000000,1654
BANE,D,22/05/12,00:00:00,1590.0000000,1650.0000000,1590.0000000,1595.0000000,1467
BANE,D,23/05/12,00:00:00,1595.0000000,1595.5000000,1550.0000000,1550.0000000,1104
BANE,D,24/05/12,00:00:00,1599.7000000,1599.7000000,1550.0000000,1578.1000000,10331
BANE,D,25/05/12,00:00:00,1589.9000000,1647.0000000,1589.9000000,1629.9000000,3110
BANE,D,28/05/12,00:00:00,1650.0000000,1655.0000000,1625.0000000,1625.0000000,1546
BANE,D,29/05/12,00:00:00,1620.0000000,1650.1000000,1607.4000000,1610.0000000,24263
BANE,D,30/05/12,00:00:00,1610.0000000,1610.0000000,1575.0000000,1580.0000000,12738
BANE,D,31/05/12,00:00:00,1609.9000000,1609.9000000,1575.1000000,1580.0000000,12672
BANE,D,01/06/12,00:00:00,1575.0000000,1575.0000000,1518.4000000,1565.0000000,12528
BANE,D,04/06/12,00:00:00,1570.0000000,1624.9000000,1570.0000000,1620.0000000,10159
BANE,D,05/06/12,00:00:00,1625.0000000,1659.8000000,1600.0000000,1645.0000000,25875
BANE,D,06/06/12,00:00:00,1630.0000000,1730.0000000,1630.0000000,1730.0000000,20387
BANE,D,07/06/12,00:00:00,1730.0000000,1749.9000000,1724.8000000,1735.0000000,7122
BANE,D,08/06/12,00:00:00,1700.1000000,1735.0000000,1680.0000000,1720.0000000,28534
BANE,D,09/06/12,00:00:00,1718.0000000,1720.0000000,1716.0000000,1719.9000000,663
BANE,D,13/06/12,00:00:00,1720.0000000,1720.0000000,1710.0000000,1718.9000000,1746
BANE,D,14/06/12,00:00:00,1710.0000000,1725.0000000,1710.0000000,1725.0000000,5739
BANE,D,15/06/12,00:00:00,1720.0000000,1725.0000000,1602.1000000,1635.0000000,14025
BANE,D,18/06/12,00:00:00,1641.0000000,1676.0000000,1595.1000000,1600.2000000,7665
BANE,D,19/06/12,00:00:00,1591.1000000,1600.1000000,1591.0000000,1600.0000000,4210
BANE,D,20/06/12,00:00:00,1610.0000000,1610.0000000,1580.0000000,1580.1000000,5504
BANE,D,21/06/12,00:00:00,1550.3000000,1582.0000000,1550.0000000,1578.0000000,20377
BANE,D,22/06/12,00:00:00,1550.1000000,1574.0000000,1540.0000000,1571.3000000,6444
BANE,D,25/06/12,00:00:00,1570.1000000,1586.0000000,1550.2000000,1560.0000000,19189
BANE,D,26/06/12,00:00:00,1550.0000000,1570.0000000,1550.0000000,1557.0000000,37537
BANE,D,27/06/12,00:00:00,1559.9000000,1560.5000000,1535.0000000,1549.9000000,22054
BANE,D,28/06/12,00:00:00,1541.0000000,1541.0000000,1512.0000000,1517.8000000,4922
BANE,D,29/06/12,00:00:00,1529.9000000,1560.0000000,1529.9000000,1548.0000000,32724
BANE,D,02/07/12,00:00:00,1559.8000000,1565.0000000,1545.2000000,1565.0000000,1491
BANE,D,03/07/12,00:00:00,1565.0000000,1599.9000000,1565.0000000,1577.7000000,3923
BANE,D,04/07/12,00:00:00,1580.0000000,1580.0000000,1575.0000000,1575.0000000,327
BANE,D,05/07/12,00:00:00,1550.0000000,1595.0000000,1550.0000000,1574.4000000,5089
BANE,D,06/07/12,00:00:00,1555.2000000,1560.0000000,1550.0000000,1555.0000000,10217
BANE,D,09/07/12,00:00:00,1540.0000000,1550.0000000,1540.0000000,1545.5000000,883
BANE,D,10/07/12,00:00:00,1535.2000000,1549.9000000,1530.0000000,1546.8000000,9478
BANE,D,11/07/12,00:00:00,1515.3000000,1545.0000000,1515.3000000,1520.0000000,3891
BANE,D,12/07/12,00:00:00,1522.0000000,1545.0000000,1495.0000000,1545.0000000,5732
BANE,D,13/07/12,00:00:00,1525.0000000,1599.0000000,1511.2000000,1597.0000000,13383
BANE,D,16/07/12,00:00:00,1575.0000000,1650.0000000,1575.0000000,1643.0000000,6031
BANE,D,17/07/12,00:00:00,1669.6000000,1669.6000000,1600.0000000,1623.6000000,3149
BANE,D,18/07/12,00:00:00,1619.9000000,1629.9000000,1602.2000000,1602.2000000,7512
BANE,D,19/07/12,00:00:00,1610.0000000,1610.0000000,1601.5000000,1603.9000000,797
BANE,D,20/07/12,00:00:00,1599.1000000,1602.6000000,1570.0000000,1587.9000000,602
BANE,D,23/07/12,00:00:00,1570.0000000,1570.0000000,1530.0000000,1533.5000000,785
BANE,D,24/07/12,00:00:00,1535.0000000,1571.0000000,1510.0000000,1545.2000000,2590
BANE,D,25/07/12,00:00:00,1544.9000000,1579.0000000,1544.9000000,1570.0000000,570
BANE,D,26/07/12,00:00:00,1550.1000000,1593.7000000,1550.0000000,1593.7000000,2919
BANE,D,27/07/12,00:00:00,1595.0000000,1629.6000000,1590.0000000,1624.4000000,4651
BANE,D,30/07/12,00:00:00,1650.0000000,1650.0000000,1600.0000000,1623.1000000,1495
BANE,D,31/07/12,00:00:00,1620.0000000,1628.6000000,1620.0000000,1625.0000000,1453
