<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IMOEX,D,03/01/12,00:00:00,1408.0800000,1447.6600000,1408.0800000,1444.8100000,21790310159
IMOEX,D,04/01/12,00:00:00,1444.7900000,1453.2200000,1437.6200000,1450.6400000,25109559238
IMOEX,D,05/01/12,00:00:00,1449.0700000,1458.1400000,1432.9400000,1439.3300000,25650055451
IMOEX,D,06/01/12,00:00:00,1436.9000000,1453.9200000,1431.9700000,1438.9500000,22424496522
IMOEX,D,09/01/12,00:00:00,1438.6300000,1449.4600000,1432.0200000,1446.4400000,18960834618
IMOEX,D,10/01/12,00:00:00,1448.2100000,1478.7100000,1448.2100000,1473.9600000,52313157534
IMOEX,D,11/01/12,00:00:00,1473.3700000,1480.2800000,1458.7400000,1470.2400000,51970873822
IMOEX,D,12/01/12,00:00:00,1468.7200000,1485.1300000,1457.7800000,1463.1700000,50279347170
IMOEX,D,13/01/12,00:00:00,1464.2200000,1478.1200000,1458.7500000,1459.4100000,43613427210
IMOEX,D,16/01/12,00:00:00,1455.0400000,1467.4100000,1445.9800000,1465.9100000,30236488017
IMOEX,D,17/01/12,00:00:00,1471.5000000,1494.9500000,1471.5000000,1484.7200000,46819889466
IMOEX,D,18/01/12,00:00:00,1485.6000000,1499.7200000,1475.5700000,1496.3500000,40017118776
IMOEX,D,19/01/12,00:00:00,1497.6800000,1505.9700000,1490.4700000,1505.7500000,52492380529
IMOEX,D,20/01/12,00:00:00,1506.1400000,1506.5100000,1486.1700000,1490.4100000,40288471707
IMOEX,D,23/01/12,00:00:00,1489.9900000,1502.1600000,1477.0200000,1496.0900000,49532903695
IMOEX,D,24/01/12,00:00:00,1495.2500000,1496.3900000,1480.6500000,1489.4100000,40299506377
IMOEX,D,25/01/12,00:00:00,1492.8200000,1507.4000000,1492.0500000,1504.2300000,58966703612
IMOEX,D,26/01/12,00:00:00,1504.9300000,1519.5100000,1503.5100000,1512.0800000,73866101768
IMOEX,D,27/01/12,00:00:00,1510.1400000,1518.4000000,1503.3800000,1511.6100000,48908874497
IMOEX,D,30/01/12,00:00:00,1507.3000000,1509.1700000,1492.0400000,1500.5100000,40198272105
IMOEX,D,31/01/12,00:00:00,1501.3900000,1518.3500000,1501.3900000,1510.9100000,44096103631
IMOEX,D,01/02/12,00:00:00,1510.3000000,1545.7700000,1504.1700000,1544.6400000,57052626556
IMOEX,D,02/02/12,00:00:00,1544.2400000,1547.5900000,1532.4500000,1540.7000000,63303811692
IMOEX,D,03/02/12,00:00:00,1541.3000000,1569.2100000,1536.3400000,1569.1800000,46146088352
IMOEX,D,06/02/12,00:00:00,1567.6100000,1570.4500000,1557.8700000,1563.1000000,43613930122
IMOEX,D,07/02/12,00:00:00,1563.5700000,1571.6700000,1546.3400000,1556.0300000,45517383708
IMOEX,D,08/02/12,00:00:00,1555.8400000,1571.4200000,1551.1900000,1554.9600000,54313826239
IMOEX,D,09/02/12,00:00:00,1554.7100000,1565.9000000,1532.7700000,1543.1600000,64973148431
IMOEX,D,10/02/12,00:00:00,1540.2400000,1540.2400000,1521.8300000,1524.9200000,44967264902
IMOEX,D,13/02/12,00:00:00,1525.9600000,1561.7400000,1525.9600000,1561.4500000,46608479164
IMOEX,D,14/02/12,00:00:00,1558.1000000,1574.7500000,1553.7100000,1556.2200000,46161470329
IMOEX,D,15/02/12,00:00:00,1565.4600000,1582.6600000,1565.4600000,1573.4200000,47979606198
IMOEX,D,16/02/12,00:00:00,1571.4000000,1578.1000000,1554.4200000,1578.1000000,45049711461
IMOEX,D,17/02/12,00:00:00,1580.4100000,1585.0300000,1559.9200000,1569.4200000,38579394041
