<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXOG,D,03/01/12,00:00:00,2993.0800000,3069.8100000,2993.0800000,3069.3600000,9236136758
MOEXOG,D,04/01/12,00:00:00,3070.6400000,3081.0500000,3052.4000000,3066.9000000,7988837802
MOEXOG,D,05/01/12,00:00:00,3066.5200000,3086.7100000,3038.6400000,3045.2400000,10396496238
MOEXOG,D,06/01/12,00:00:00,3045.9900000,3079.5200000,3037.8500000,3059.4900000,6832561370
MOEXOG,D,09/01/12,00:00:00,3057.9600000,3074.3900000,3042.5500000,3071.5800000,7185678655
MOEXOG,D,10/01/12,00:00:00,3073.8100000,3136.0600000,3072.6400000,3134.6500000,18725018764
MOEXOG,D,11/01/12,00:00:00,3130.3000000,3143.0200000,3106.7800000,3123.6800000,19149132364
MOEXOG,D,12/01/12,00:00:00,3127.5500000,3145.0100000,3100.1300000,3101.0300000,17048199044
MOEXOG,D,13/01/12,00:00:00,3103.1700000,3125.7500000,3087.0900000,3100.2900000,14902495775
MOEXOG,D,16/01/12,00:00:00,3096.0900000,3103.7200000,3067.7400000,3099.2200000,11047326771
MOEXOG,D,17/01/12,00:00:00,3100.1800000,3162.4300000,3100.1800000,3140.6700000,17697256532
MOEXOG,D,18/01/12,00:00:00,3140.6400000,3171.2600000,3122.1400000,3169.3300000,16155346233
MOEXOG,D,19/01/12,00:00:00,3174.3500000,3199.9800000,3161.5200000,3195.7800000,21490300066
MOEXOG,D,20/01/12,00:00:00,3198.0500000,3201.8200000,3170.0700000,3180.5800000,17423560312
MOEXOG,D,23/01/12,00:00:00,3178.4100000,3207.2500000,3160.2000000,3205.1000000,19267652453
MOEXOG,D,24/01/12,00:00:00,3204.7500000,3204.7500000,3163.0000000,3181.7100000,16001503686
MOEXOG,D,25/01/12,00:00:00,3184.9100000,3211.8700000,3177.5100000,3191.4100000,16190367498
MOEXOG,D,26/01/12,00:00:00,3192.8200000,3220.8800000,3185.6700000,3196.1100000,20361899361
MOEXOG,D,27/01/12,00:00:00,3193.2400000,3197.8300000,3162.9100000,3166.6400000,13739459117
MOEXOG,D,30/01/12,00:00:00,3163.5400000,3171.9900000,3138.3900000,3147.7300000,13061926139
MOEXOG,D,31/01/12,00:00:00,3151.4900000,3193.7100000,3151.4900000,3187.7700000,16178189629
MOEXOG,D,01/02/12,00:00:00,3185.2400000,3227.9500000,3170.6700000,3217.0000000,18462592295
MOEXOG,D,02/02/12,00:00:00,3219.4100000,3226.9100000,3206.4500000,3225.1100000,18312572428
MOEXOG,D,03/02/12,00:00:00,3223.6300000,3261.9000000,3212.4900000,3260.5300000,15734461053
MOEXOG,D,06/02/12,00:00:00,3255.8200000,3273.9600000,3249.6600000,3258.5200000,14844943550
MOEXOG,D,07/02/12,00:00:00,3259.5600000,3275.5300000,3225.0300000,3227.4900000,15900939861
MOEXOG,D,08/02/12,00:00:00,3230.4700000,3267.7800000,3218.3200000,3223.3400000,24025355274
MOEXOG,D,09/02/12,00:00:00,3225.0800000,3239.0700000,3169.8600000,3197.8500000,24527904957
MOEXOG,D,10/02/12,00:00:00,3194.3100000,3196.1600000,3166.1600000,3175.5400000,18462678476
MOEXOG,D,13/02/12,00:00:00,3176.3900000,3236.2500000,3176.3900000,3228.3000000,17073702276
MOEXOG,D,14/02/12,00:00:00,3223.9200000,3259.4500000,3222.6900000,3241.8200000,15852625695
MOEXOG,D,15/02/12,00:00:00,3249.1700000,3277.6600000,3249.1700000,3271.5600000,17891005177
MOEXOG,D,16/02/12,00:00:00,3252.2700000,3261.8100000,3226.0300000,3260.9800000,16512949311
MOEXOG,D,17/02/12,00:00:00,3273.8800000,3282.6800000,3231.8800000,3252.3300000,13950664801
MOEXOG,D,20/02/12,00:00:00,3267.4800000,3282.4600000,3253.5800000,3278.3500000,9006572288
MOEXOG,D,21/02/12,00:00:00,3278.2700000,3279.3300000,3232.7400000,3241.8800000,13426585514
MOEXOG,D,22/02/12,00:00:00,3247.1200000,3271.2800000,3204.3500000,3205.5600000,19492031582
MOEXOG,D,24/02/12,00:00:00,3216.4100000,3329.1600000,3216.4100000,3328.1400000,30469941497
MOEXOG,D,27/02/12,00:00:00,3324.5300000,3340.0500000,3298.7400000,3311.8600000,21406680210
MOEXOG,D,28/02/12,00:00:00,3319.3000000,3335.3700000,3277.6200000,3285.4300000,21537099924
MOEXOG,D,29/02/12,00:00:00,3287.9600000,3339.5700000,3287.9600000,3339.0200000,19131805361
MOEXOG,D,01/03/12,00:00:00,3335.7100000,3335.7100000,3299.1500000,3324.8500000,19457895409
MOEXOG,D,02/03/12,00:00:00,3328.6400000,3354.3900000,3311.3100000,3354.3900000,18537769861
MOEXOG,D,05/03/12,00:00:00,3354.3900000,3400.7800000,3353.6100000,3398.8100000,20430393961
MOEXOG,D,06/03/12,00:00:00,3395.6100000,3395.6100000,3274.7200000,3280.7700000,23520021919
MOEXOG,D,07/03/12,00:00:00,3274.0100000,3310.3300000,3263.3700000,3306.5000000,16929816186
MOEXOG,D,11/03/12,00:00:00,3322.3800000,3387.0800000,3322.3800000,3383.4700000,8192536485
MOEXOG,D,12/03/12,00:00:00,3364.0700000,3422.4300000,3357.3500000,3386.0100000,22579132959
MOEXOG,D,13/03/12,00:00:00,3399.9700000,3423.4300000,3393.3300000,3415.4700000,17377577617
MOEXOG,D,14/03/12,00:00:00,3432.6300000,3456.3600000,3426.4300000,3454.6200000,23738327063
MOEXOG,D,15/03/12,00:00:00,3454.1400000,3475.2600000,3432.5700000,3447.7800000,32123307642
MOEXOG,D,16/03/12,00:00:00,3442.4600000,3459.0900000,3414.1900000,3427.7100000,16926999888
MOEXOG,D,19/03/12,00:00:00,3434.4600000,3441.8900000,3333.9500000,3345.4400000,22546174507
MOEXOG,D,20/03/12,00:00:00,3349.7600000,3364.3000000,3269.8400000,3271.6100000,21038629763
MOEXOG,D,21/03/12,00:00:00,3272.4800000,3306.0100000,3248.6000000,3268.3300000,21578934045
MOEXOG,D,22/03/12,00:00:00,3265.2600000,3291.0700000,3217.6500000,3227.7600000,19687059588
MOEXOG,D,23/03/12,00:00:00,3230.2400000,3257.9800000,3205.6200000,3254.9200000,15060553810
MOEXOG,D,26/03/12,00:00:00,3254.2300000,3313.5300000,3249.2800000,3306.8200000,16900583816
MOEXOG,D,27/03/12,00:00:00,3310.1600000,3324.9400000,3281.6900000,3292.6100000,14484506086
MOEXOG,D,28/03/12,00:00:00,3279.9900000,3288.9000000,3211.1600000,3211.1600000,20140178285
MOEXOG,D,29/03/12,00:00:00,3210.6300000,3210.6300000,3143.3100000,3166.7600000,20492160405
MOEXOG,D,30/03/12,00:00:00,3166.7500000,3254.2200000,3166.7500000,3231.1800000,23529021757
MOEXOG,D,02/04/12,00:00:00,3240.5900000,3273.3200000,3201.7500000,3235.0000000,15670075654
MOEXOG,D,03/04/12,00:00:00,3245.6300000,3308.3900000,3244.8300000,3289.9100000,17298133980
MOEXOG,D,04/04/12,00:00:00,3270.1600000,3284.9900000,3194.8100000,3216.1600000,19110482365
MOEXOG,D,05/04/12,00:00:00,3221.6400000,3236.1900000,3181.3700000,3230.6000000,18300583571
MOEXOG,D,06/04/12,00:00:00,3234.2300000,3240.1700000,3168.6900000,3175.9300000,10512990900
MOEXOG,D,09/04/12,00:00:00,3172.5100000,3210.8300000,3132.6900000,3207.1800000,12015497499
MOEXOG,D,10/04/12,00:00:00,3207.1900000,3219.1100000,3168.6400000,3170.6100000,18324655579
MOEXOG,D,11/04/12,00:00:00,3170.5800000,3216.8600000,3149.5000000,3186.6900000,20201841591
