<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,D,03/01/12,00:00:00,215.2200000,218.5000000,214.2400000,218.0000000,5212650
ROSN,D,04/01/12,00:00:00,218.5100000,222.4000000,216.7900000,222.4000000,5241880
ROSN,D,05/01/12,00:00:00,222.2700000,223.7500000,218.1000000,218.8200000,5577140
ROSN,D,06/01/12,00:00:00,218.6200000,222.6400000,218.1200000,221.1900000,3955090
ROSN,D,09/01/12,00:00:00,220.6000000,222.5000000,219.7100000,222.2200000,3860950
ROSN,D,10/01/12,00:00:00,223.1000000,227.4700000,223.0000000,227.1100000,8908700
ROSN,D,11/01/12,00:00:00,226.9200000,228.8500000,224.5700000,227.5000000,10990310
ROSN,D,12/01/12,00:00:00,227.3100000,229.5300000,225.3200000,226.0000000,7572090
ROSN,D,13/01/12,00:00:00,226.5000000,228.2200000,223.5600000,226.0000000,8594630
ROSN,D,16/01/12,00:00:00,224.9900000,228.9000000,224.1000000,227.5200000,8117920
ROSN,D,17/01/12,00:00:00,229.3100000,231.5000000,228.6800000,230.0500000,8752860
ROSN,D,18/01/12,00:00:00,230.0500000,230.9400000,227.5400000,230.9400000,9581710
ROSN,D,19/01/12,00:00:00,231.3200000,232.3500000,229.2600000,232.0000000,10801140
ROSN,D,20/01/12,00:00:00,232.5500000,232.8900000,229.6900000,230.3100000,8314430
ROSN,D,23/01/12,00:00:00,229.9000000,234.0000000,229.5000000,233.9000000,9720860
ROSN,D,24/01/12,00:00:00,232.9000000,233.2100000,228.2100000,228.3100000,9163450
ROSN,D,25/01/12,00:00:00,230.0000000,230.4900000,225.7700000,227.4500000,9739050
ROSN,D,26/01/12,00:00:00,228.9900000,229.7000000,226.2600000,228.9000000,10625710
ROSN,D,27/01/12,00:00:00,228.1800000,228.8000000,226.0000000,227.1900000,7572550
ROSN,D,30/01/12,00:00:00,226.6500000,226.6500000,223.1200000,224.0000000,6621110
ROSN,D,31/01/12,00:00:00,225.2700000,228.0000000,224.2600000,224.8300000,8345600
ROSN,D,01/02/12,00:00:00,224.3000000,227.8700000,222.7000000,227.3900000,10394170
ROSN,D,02/02/12,00:00:00,228.1800000,230.4300000,226.8300000,230.2500000,9981050
ROSN,D,03/02/12,00:00:00,230.2500000,233.9100000,228.7500000,233.9100000,9414970
ROSN,D,06/02/12,00:00:00,232.5000000,234.9100000,229.2100000,229.8900000,9517810
