<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SIBN,D,03/01/12,00:00:00,149.5600000,152.9900000,149.5600000,150.1800000,153740
SIBN,D,04/01/12,00:00:00,151.4700000,152.7000000,147.5700000,148.7000000,107060
SIBN,D,05/01/12,00:00:00,149.7000000,151.7000000,147.4900000,148.9300000,57650
SIBN,D,06/01/12,00:00:00,149.6800000,150.6900000,148.0800000,149.0000000,58380
SIBN,D,09/01/12,00:00:00,148.0700000,150.2500000,146.0800000,148.5000000,128430
SIBN,D,10/01/12,00:00:00,149.0100000,151.6500000,149.0100000,150.5200000,348460
SIBN,D,11/01/12,00:00:00,149.0000000,150.6000000,148.2000000,149.5000000,158580
SIBN,D,12/01/12,00:00:00,150.0000000,152.0000000,149.0000000,149.0000000,198500
SIBN,D,13/01/12,00:00:00,149.5100000,149.5100000,145.5000000,146.1800000,368020
SIBN,D,16/01/12,00:00:00,145.2200000,147.3000000,144.1000000,145.7300000,147110
SIBN,D,17/01/12,00:00:00,146.4900000,149.1500000,145.8100000,147.6300000,260320
SIBN,D,18/01/12,00:00:00,147.6400000,149.0000000,146.5100000,148.5000000,255070
SIBN,D,19/01/12,00:00:00,149.4900000,151.0800000,148.1500000,150.8200000,334970
SIBN,D,20/01/12,00:00:00,151.1800000,153.0000000,150.3300000,150.6000000,590030
SIBN,D,23/01/12,00:00:00,150.6000000,150.9700000,148.8000000,150.0600000,237970
SIBN,D,24/01/12,00:00:00,149.8300000,150.9800000,148.3200000,150.2500000,430580
SIBN,D,25/01/12,00:00:00,150.7400000,151.1000000,149.7500000,150.3400000,235440
SIBN,D,26/01/12,00:00:00,152.6300000,152.8000000,147.5700000,150.4200000,226390
SIBN,D,27/01/12,00:00:00,150.0000000,151.0000000,148.0100000,150.7700000,189200
SIBN,D,30/01/12,00:00:00,149.9000000,150.4900000,147.1000000,148.5500000,197030
SIBN,D,31/01/12,00:00:00,148.9900000,150.2400000,148.0100000,148.5700000,234960
SIBN,D,01/02/12,00:00:00,148.6400000,150.9700000,148.1300000,150.0200000,350250
SIBN,D,02/02/12,00:00:00,150.4800000,150.7700000,149.2500000,149.7500000,128220
SIBN,D,03/02/12,00:00:00,149.7500000,150.3700000,148.2200000,149.3000000,251500
SIBN,D,06/02/12,00:00:00,149.2900000,149.3000000,148.0000000,148.6700000,224540
SIBN,D,07/02/12,00:00:00,148.6700000,149.4900000,146.1900000,148.9200000,698840
SIBN,D,08/02/12,00:00:00,149.2500000,150.9600000,148.0400000,149.4800000,350770
SIBN,D,09/02/12,00:00:00,150.0000000,150.9600000,149.3000000,150.8000000,1028670
SIBN,D,10/02/12,00:00:00,150.1500000,152.6500000,145.0000000,152.1500000,1291630
SIBN,D,13/02/12,00:00:00,152.7000000,154.8000000,149.9000000,152.9900000,578760
SIBN,D,14/02/12,00:00:00,152.0200000,154.6500000,151.6900000,154.6400000,502600
SIBN,D,15/02/12,00:00:00,154.8000000,155.0000000,154.2500000,154.4500000,276120
SIBN,D,16/02/12,00:00:00,154.0000000,154.0000000,150.8100000,153.4900000,198770
SIBN,D,17/02/12,00:00:00,152.5700000,155.0000000,152.5700000,154.5000000,156740
SIBN,D,20/02/12,00:00:00,154.9800000,156.0000000,151.8400000,153.8000000,167830
SIBN,D,21/02/12,00:00:00,154.1000000,154.1000000,152.1000000,152.5800000,292490
SIBN,D,22/02/12,00:00:00,152.9700000,154.0000000,150.0100000,151.8900000,219170
SIBN,D,24/02/12,00:00:00,152.5000000,155.3500000,151.8500000,155.1300000,716190
SIBN,D,27/02/12,00:00:00,155.5000000,155.9800000,154.2500000,155.6200000,289360
SIBN,D,28/02/12,00:00:00,155.0000000,156.4900000,153.1100000,155.4100000,959540
SIBN,D,29/02/12,00:00:00,156.0500000,156.9900000,155.5200000,156.9500000,515950
SIBN,D,01/03/12,00:00:00,156.6500000,156.9800000,154.1100000,156.8900000,364280
SIBN,D,02/03/12,00:00:00,157.2200000,157.2200000,154.4200000,156.4500000,1095010
SIBN,D,05/03/12,00:00:00,156.4700000,157.7000000,155.2200000,156.9900000,384950
SIBN,D,06/03/12,00:00:00,156.5000000,157.1800000,154.7900000,156.5900000,365890
SIBN,D,07/03/12,00:00:00,155.5000000,159.0000000,154.9100000,159.0000000,444790
SIBN,D,11/03/12,00:00:00,159.4600000,162.6300000,159.2800000,162.1000000,287720
SIBN,D,12/03/12,00:00:00,161.1000000,162.4500000,157.0500000,158.1200000,1193600
SIBN,D,13/03/12,00:00:00,158.9800000,159.9600000,154.6200000,157.6000000,675230
SIBN,D,14/03/12,00:00:00,159.4900000,159.4900000,155.3200000,156.3100000,994950
SIBN,D,15/03/12,00:00:00,156.3100000,156.9800000,155.4400000,155.7100000,677500
SIBN,D,16/03/12,00:00:00,156.0600000,156.9800000,150.1800000,151.1900000,1599510
SIBN,D,19/03/12,00:00:00,151.5100000,158.5000000,151.5000000,157.4100000,1366270
SIBN,D,20/03/12,00:00:00,157.4900000,157.9800000,154.2300000,156.4600000,842910
SIBN,D,21/03/12,00:00:00,157.4500000,157.8000000,154.7500000,155.0000000,312340
SIBN,D,22/03/12,00:00:00,155.7900000,156.6600000,151.3700000,152.1900000,386890
SIBN,D,23/03/12,00:00:00,152.6000000,153.0000000,149.1000000,151.8000000,299720
SIBN,D,26/03/12,00:00:00,152.4200000,156.1100000,152.1700000,154.3100000,319230
SIBN,D,27/03/12,00:00:00,155.8700000,156.4600000,154.1400000,155.9100000,578960
SIBN,D,28/03/12,00:00:00,155.0000000,156.7900000,152.5300000,154.1000000,246420
SIBN,D,29/03/12,00:00:00,153.3100000,153.5900000,150.8300000,151.0000000,428130
SIBN,D,30/03/12,00:00:00,152.7900000,156.9000000,151.6200000,155.7800000,316430
SIBN,D,02/04/12,00:00:00,156.0000000,157.7900000,154.4000000,155.7200000,208910
