<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SNGS,D,03/01/12,00:00:00,25.4250000,26.2370000,25.3800000,26.1380000,18118900
SNGS,D,04/01/12,00:00:00,26.1040000,26.1880000,25.8500000,26.1300000,10602100
SNGS,D,05/01/12,00:00:00,26.0990000,26.4740000,25.7770000,25.8410000,15986300
SNGS,D,06/01/12,00:00:00,26.0500000,26.2930000,25.5080000,26.0000000,12225600
SNGS,D,09/01/12,00:00:00,26.0090000,26.2000000,25.7070000,25.9200000,12542900
SNGS,D,10/01/12,00:00:00,26.0200000,26.4710000,25.9500000,26.3500000,28943800
SNGS,D,11/01/12,00:00:00,26.2510000,26.3980000,26.0230000,26.2880000,16401300
SNGS,D,12/01/12,00:00:00,26.3380000,26.7450000,25.9050000,26.3010000,25909300
SNGS,D,13/01/12,00:00:00,26.2970000,26.4000000,26.0410000,26.0500000,19711400
SNGS,D,16/01/12,00:00:00,25.9000000,26.1110000,25.7540000,25.9970000,12869100
SNGS,D,17/01/12,00:00:00,26.1970000,26.6900000,26.1500000,26.2600000,30579200
SNGS,D,18/01/12,00:00:00,26.3000000,26.8900000,26.1110000,26.8000000,29950900
SNGS,D,19/01/12,00:00:00,27.0680000,27.6770000,26.7900000,27.6550000,42784000
SNGS,D,20/01/12,00:00:00,27.5600000,27.6120000,27.1570000,27.4000000,23603700
SNGS,D,23/01/12,00:00:00,27.3500000,27.9000000,26.9330000,27.8110000,27263000
SNGS,D,24/01/12,00:00:00,27.5450000,28.2700000,27.5000000,28.0050000,26885400
SNGS,D,25/01/12,00:00:00,28.2250000,28.4550000,27.8770000,28.2000000,25902700
SNGS,D,26/01/12,00:00:00,28.3490000,28.5990000,28.0500000,28.2610000,26875600
SNGS,D,27/01/12,00:00:00,28.1600000,28.4380000,27.5210000,27.5650000,20771800
SNGS,D,30/01/12,00:00:00,27.5380000,27.8150000,27.2530000,27.5170000,19270100
SNGS,D,31/01/12,00:00:00,27.6800000,28.5190000,27.6700000,28.4070000,34455200
SNGS,D,01/02/12,00:00:00,28.2620000,28.9750000,28.1000000,28.8140000,25657100
SNGS,D,02/02/12,00:00:00,28.8400000,28.8950000,28.5390000,28.8060000,21587200
SNGS,D,03/02/12,00:00:00,28.8320000,29.4000000,28.4670000,29.3500000,24798000
SNGS,D,06/02/12,00:00:00,29.3120000,29.5870000,29.1970000,29.5000000,20876000
SNGS,D,07/02/12,00:00:00,29.5000000,29.7100000,29.0370000,29.3000000,21550300
SNGS,D,08/02/12,00:00:00,29.5000000,29.7000000,29.2340000,29.3400000,21433000
SNGS,D,09/02/12,00:00:00,29.3410000,29.5310000,28.5810000,29.0380000,23949400
SNGS,D,10/02/12,00:00:00,28.8500000,28.9990000,27.9500000,27.9750000,35679800
SNGS,D,13/02/12,00:00:00,28.3010000,28.6990000,28.2260000,28.5200000,26487000
SNGS,D,14/02/12,00:00:00,28.5120000,28.9380000,28.4490000,28.6500000,19005300
SNGS,D,15/02/12,00:00:00,28.7760000,29.3420000,28.7520000,29.2170000,29750700
SNGS,D,16/02/12,00:00:00,28.8460000,29.0870000,28.6190000,29.0390000,15861800
SNGS,D,17/02/12,00:00:00,29.2500000,29.3400000,28.4600000,28.7400000,19077500
SNGS,D,20/02/12,00:00:00,28.9770000,29.2190000,28.9230000,29.1010000,12674100
SNGS,D,21/02/12,00:00:00,29.0800000,29.1300000,28.5900000,28.7500000,15383600
SNGS,D,22/02/12,00:00:00,28.8350000,29.3000000,28.6070000,28.6110000,30381800
SNGS,D,24/02/12,00:00:00,28.9130000,30.7490000,28.9100000,30.5770000,81400400
SNGS,D,27/02/12,00:00:00,30.3020000,30.6000000,30.0570000,30.2250000,42255700
SNGS,D,28/02/12,00:00:00,30.4250000,30.5500000,29.8000000,29.8990000,32441200
SNGS,D,29/02/12,00:00:00,30.0510000,30.5490000,30.0510000,30.3500000,35476900
SNGS,D,01/03/12,00:00:00,30.2000000,30.5490000,30.1560000,30.4990000,25849500
SNGS,D,02/03/12,00:00:00,30.5500000,30.8000000,30.2340000,30.5800000,27900800
SNGS,D,05/03/12,00:00:00,30.6800000,31.1770000,30.4730000,31.1000000,27248400
SNGS,D,06/03/12,00:00:00,30.9170000,31.0630000,29.5100000,29.6000000,36299400
SNGS,D,07/03/12,00:00:00,29.4510000,29.6770000,29.0050000,29.5500000,32735300
SNGS,D,11/03/12,00:00:00,30.2840000,31.0000000,30.2840000,30.9530000,21120100
SNGS,D,12/03/12,00:00:00,30.7820000,31.5020000,30.6170000,31.1810000,35991500
SNGS,D,13/03/12,00:00:00,31.3500000,31.8960000,31.2130000,31.8000000,29656100
SNGS,D,14/03/12,00:00:00,32.0100000,32.9600000,31.9700000,32.8950000,41785000
SNGS,D,15/03/12,00:00:00,32.7990000,33.7350000,32.5260000,33.3400000,68337300
SNGS,D,16/03/12,00:00:00,33.3810000,33.4400000,32.5360000,32.6990000,27629100
SNGS,D,19/03/12,00:00:00,32.7430000,32.8690000,31.1310000,31.4020000,47814800
SNGS,D,20/03/12,00:00:00,31.5110000,31.5490000,30.0500000,30.2430000,39978600
SNGS,D,21/03/12,00:00:00,30.3200000,30.4890000,29.6250000,30.0990000,40467500
SNGS,D,22/03/12,00:00:00,30.0400000,30.2750000,29.4100000,29.6200000,31720400
SNGS,D,23/03/12,00:00:00,29.7770000,29.9330000,29.2310000,29.8000000,28394200
SNGS,D,26/03/12,00:00:00,29.9700000,31.1250000,29.9010000,31.0000000,39258500
SNGS,D,27/03/12,00:00:00,31.1100000,31.2910000,30.6250000,30.8560000,27946600
SNGS,D,28/03/12,00:00:00,30.6290000,30.6500000,29.3500000,29.3600000,46881800
SNGS,D,29/03/12,00:00:00,29.2920000,29.2920000,28.2410000,28.4320000,53181900
SNGS,D,30/03/12,00:00:00,28.8100000,29.3490000,28.7310000,28.8000000,51861600
SNGS,D,02/04/12,00:00:00,29.1000000,29.4550000,28.3470000,28.9020000,36946700
SNGS,D,03/04/12,00:00:00,29.1770000,29.9700000,29.0230000,29.8000000,45081200
SNGS,D,04/04/12,00:00:00,29.3910000,29.6700000,28.5110000,28.7880000,46641100
SNGS,D,05/04/12,00:00:00,28.8800000,29.1380000,28.3980000,28.9580000,33848400
SNGS,D,06/04/12,00:00:00,28.9580000,29.1000000,28.1390000,28.2190000,19304600
SNGS,D,09/04/12,00:00:00,28.2000000,28.4200000,27.5540000,28.3750000,24758700
SNGS,D,10/04/12,00:00:00,28.3010000,28.7880000,27.8000000,28.3500000,37028000
SNGS,D,11/04/12,00:00:00,28.0820000,29.2990000,28.0010000,28.9000000,33577100
SNGS,D,12/04/12,00:00:00,28.9600000,29.1510000,28.5390000,28.8060000,43439800
SNGS,D,13/04/12,00:00:00,28.9900000,29.2000000,28.5880000,28.6700000,41871100
SNGS,D,16/04/12,00:00:00,28.4750000,28.8300000,27.9500000,28.0190000,37089700
SNGS,D,17/04/12,00:00:00,28.0110000,28.1800000,27.7560000,28.0260000,25370600
SNGS,D,18/04/12,00:00:00,28.2800000,28.3770000,27.8810000,28.0500000,16897100
SNGS,D,19/04/12,00:00:00,27.9380000,29.1990000,27.9310000,28.9300000,58220400
SNGS,D,20/04/12,00:00:00,28.9020000,29.4400000,28.6300000,29.2800000,54392500
SNGS,D,23/04/12,00:00:00,29.1010000,29.1430000,28.3110000,28.3830000,23250900
SNGS,D,24/04/12,00:00:00,28.5100000,28.5770000,27.6990000,28.1400000,23073700
SNGS,D,25/04/12,00:00:00,28.2900000,28.7050000,27.9150000,28.3800000,20404600
