<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,D,03/01/12,00:00:00,159.0200000,172.7700000,159.0200000,172.0100000,1950230
TATN,D,04/01/12,00:00:00,171.7100000,173.2400000,169.3300000,173.2400000,2186200
TATN,D,05/01/12,00:00:00,173.6500000,175.0000000,168.2000000,168.9100000,1710750
TATN,D,06/01/12,00:00:00,170.0000000,171.7200000,168.0300000,170.0000000,815120
TATN,D,09/01/12,00:00:00,170.0500000,173.0100000,169.0900000,172.2000000,814030
TATN,D,10/01/12,00:00:00,171.3400000,174.6000000,171.3400000,174.0000000,1765350
TATN,D,11/01/12,00:00:00,172.6900000,173.9000000,169.9000000,169.9000000,1459190
TATN,D,12/01/12,00:00:00,170.4900000,171.3900000,167.5000000,168.6100000,1490680
TATN,D,13/01/12,00:00:00,168.0400000,169.6900000,167.1700000,167.5000000,977400
TATN,D,16/01/12,00:00:00,166.9600000,168.5600000,164.1700000,168.0000000,1251780
TATN,D,17/01/12,00:00:00,169.9000000,172.4900000,168.2500000,169.5000000,2362770
TATN,D,18/01/12,00:00:00,170.1400000,171.8200000,168.0500000,171.8200000,1654720
TATN,D,19/01/12,00:00:00,172.3400000,174.7000000,171.1000000,174.5700000,2486680
TATN,D,20/01/12,00:00:00,174.9800000,177.5000000,173.0000000,176.9700000,3321490
TATN,D,23/01/12,00:00:00,176.1500000,177.6900000,174.3000000,177.6900000,1746910
TATN,D,24/01/12,00:00:00,176.5600000,178.1200000,173.3100000,175.0000000,1875960
TATN,D,25/01/12,00:00:00,175.8000000,177.2600000,171.5100000,173.6000000,2561520
TATN,D,26/01/12,00:00:00,177.1000000,188.9800000,174.1600000,176.2400000,1862500
TATN,D,27/01/12,00:00:00,174.5500000,177.9000000,173.0000000,173.5300000,1931240
TATN,D,30/01/12,00:00:00,173.2500000,173.4900000,169.8200000,170.2400000,2112030
TATN,D,31/01/12,00:00:00,171.6000000,177.5500000,171.6000000,177.5500000,1809770
TATN,D,01/02/12,00:00:00,176.7700000,178.0000000,175.6600000,177.5000000,1497320
TATN,D,02/02/12,00:00:00,178.0000000,178.9400000,175.8500000,178.4200000,1743170
TATN,D,03/02/12,00:00:00,178.4800000,179.8900000,177.2000000,179.8400000,1362470
TATN,D,06/02/12,00:00:00,179.4900000,181.6400000,178.5300000,179.0600000,1649930
TATN,D,07/02/12,00:00:00,179.5900000,181.6000000,177.0200000,177.9700000,1559980
TATN,D,08/02/12,00:00:00,178.5200000,180.2000000,176.6500000,177.2400000,1729120
TATN,D,09/02/12,00:00:00,177.5000000,178.5200000,174.3500000,176.2700000,2613150
TATN,D,10/02/12,00:00:00,174.9400000,178.2300000,170.5100000,173.9000000,1907870
TATN,D,13/02/12,00:00:00,174.0800000,176.5900000,172.0000000,174.9400000,1811880
TATN,D,14/02/12,00:00:00,174.2000000,177.8800000,173.5400000,176.5000000,1232800
TATN,D,15/02/12,00:00:00,177.5200000,180.3400000,177.2600000,179.9300000,1783850
TATN,D,16/02/12,00:00:00,178.5400000,180.9000000,177.1900000,180.9000000,1218010
TATN,D,17/02/12,00:00:00,181.3700000,183.7700000,180.9000000,183.4900000,2273550
TATN,D,20/02/12,00:00:00,183.9900000,188.0000000,183.1800000,187.9800000,1264450
TATN,D,21/02/12,00:00:00,187.9500000,189.5900000,185.6400000,187.7100000,1888440
TATN,D,22/02/12,00:00:00,188.5500000,190.5300000,185.3100000,186.7200000,1592060
TATN,D,24/02/12,00:00:00,188.0100000,192.0000000,185.2000000,191.2200000,2538720
TATN,D,27/02/12,00:00:00,191.2500000,191.2500000,186.4000000,188.7200000,3465000
TATN,D,28/02/12,00:00:00,189.5000000,190.5000000,187.1100000,187.5400000,1808460
TATN,D,29/02/12,00:00:00,188.2400000,194.4500000,188.0000000,194.4500000,3472410
TATN,D,01/03/12,00:00:00,193.4500000,194.4000000,190.8200000,194.4000000,1368250
TATN,D,02/03/12,00:00:00,194.9000000,195.9000000,190.2600000,194.7000000,2505940
TATN,D,05/03/12,00:00:00,195.0000000,196.5000000,194.1400000,195.6300000,1047500
TATN,D,06/03/12,00:00:00,194.6300000,194.9000000,186.5900000,186.6300000,2401990
TATN,D,07/03/12,00:00:00,185.8600000,189.6800000,185.1200000,188.6600000,1220740
TATN,D,11/03/12,00:00:00,192.6500000,195.5500000,192.1200000,194.7100000,808450
TATN,D,12/03/12,00:00:00,193.8600000,195.9000000,192.7100000,195.3500000,2230140
TATN,D,13/03/12,00:00:00,196.3900000,199.5000000,196.1000000,199.3800000,1886080
TATN,D,14/03/12,00:00:00,200.0000000,201.0000000,197.3800000,200.9900000,1683800
TATN,D,15/03/12,00:00:00,199.8400000,203.7000000,199.3300000,199.5000000,4349850
TATN,D,16/03/12,00:00:00,199.2100000,205.2000000,198.8000000,203.0000000,2533800
TATN,D,19/03/12,00:00:00,203.9800000,204.7000000,195.2500000,197.5000000,2264400
TATN,D,20/03/12,00:00:00,197.5000000,199.8900000,190.6300000,192.9800000,1684160
TATN,D,21/03/12,00:00:00,193.7700000,194.9900000,189.3800000,191.1800000,2366900
TATN,D,22/03/12,00:00:00,191.2700000,192.9300000,189.0000000,191.2800000,1011540
TATN,D,23/03/12,00:00:00,193.7200000,194.4700000,189.3700000,193.9000000,1392080
TATN,D,26/03/12,00:00:00,194.5000000,199.6000000,193.5600000,198.8200000,1074850
TATN,D,27/03/12,00:00:00,199.9000000,200.4600000,197.0600000,198.3000000,1011530
TATN,D,28/03/12,00:00:00,197.3300000,198.3800000,193.3000000,193.3000000,1543220
TATN,D,29/03/12,00:00:00,193.3100000,195.5100000,186.5000000,191.9400000,2036040
TATN,D,30/03/12,00:00:00,192.6300000,197.3000000,192.4000000,196.3300000,1868170
TATN,D,02/04/12,00:00:00,198.4100000,199.5000000,193.7500000,197.3000000,1579620
TATN,D,03/04/12,00:00:00,198.1500000,202.5500000,196.5300000,199.9500000,2174290
TATN,D,04/04/12,00:00:00,198.0600000,200.8700000,192.5300000,195.6600000,2106790
TATN,D,05/04/12,00:00:00,195.2000000,196.4400000,192.0000000,194.3400000,1724470
TATN,D,06/04/12,00:00:00,195.2600000,195.8700000,189.2000000,190.0300000,997110
TATN,D,09/04/12,00:00:00,190.0000000,193.9900000,186.7800000,193.9800000,1254590
TATN,D,10/04/12,00:00:00,193.2100000,194.4700000,188.2700000,188.4600000,1637510
TATN,D,11/04/12,00:00:00,188.0000000,188.7700000,184.6000000,185.0700000,2520870
TATN,D,12/04/12,00:00:00,186.0000000,186.2800000,180.2100000,183.4000000,3099490
TATN,D,13/04/12,00:00:00,183.9600000,186.4400000,181.1400000,182.5400000,1991960
TATN,D,16/04/12,00:00:00,181.9700000,184.6400000,180.1100000,182.5000000,1654790
TATN,D,17/04/12,00:00:00,182.0000000,182.6700000,179.9000000,180.0000000,1787620
TATN,D,18/04/12,00:00:00,181.5000000,182.4000000,177.5000000,177.7100000,3316540
TATN,D,19/04/12,00:00:00,178.1500000,185.4700000,176.0100000,184.4700000,2982210
TATN,D,20/04/12,00:00:00,183.1300000,185.9900000,182.7600000,184.8800000,1853860
TATN,D,23/04/12,00:00:00,184.5000000,184.7100000,178.3500000,179.1900000,1462240
TATN,D,24/04/12,00:00:00,180.0100000,180.4700000,175.4800000,179.8000000,1378090
TATN,D,25/04/12,00:00:00,179.0000000,180.8800000,176.5000000,176.5000000,1199640
TATN,D,26/04/12,00:00:00,177.5600000,178.6700000,174.3500000,178.1000000,1581950
TATN,D,27/04/12,00:00:00,177.0600000,182.6200000,176.7900000,179.3700000,1571430
TATN,D,28/04/12,00:00:00,179.7900000,182.4500000,178.5700000,180.7700000,220900
TATN,D,02/05/12,00:00:00,182.5800000,187.8600000,180.8000000,181.0000000,1458660
TATN,D,03/05/12,00:00:00,181.0000000,182.5200000,178.5000000,179.1000000,1562260
TATN,D,04/05/12,00:00:00,179.1000000,179.5900000,170.0000000,171.1100000,2415790
TATN,D,05/05/12,00:00:00,169.7600000,172.4900000,168.0100000,170.2900000,305040
TATN,D,07/05/12,00:00:00,168.0000000,183.4800000,166.1400000,179.2000000,1208810
TATN,D,08/05/12,00:00:00,179.2000000,180.8000000,172.0300000,173.7600000,1476240
TATN,D,10/05/12,00:00:00,173.7600000,178.5000000,169.0000000,170.5000000,3447100
TATN,D,11/05/12,00:00:00,169.6100000,173.0000000,167.0000000,171.4000000,1301670
TATN,D,12/05/12,00:00:00,170.8800000,172.0000000,169.9500000,171.3100000,205580
TATN,D,14/05/12,00:00:00,171.8000000,173.2000000,163.1700000,163.9900000,1623570
TATN,D,15/05/12,00:00:00,158.1400000,164.9800000,156.6500000,163.7600000,2977720
TATN,D,16/05/12,00:00:00,161.6100000,162.6800000,156.5300000,158.6400000,2641970
TATN,D,17/05/12,00:00:00,158.6400000,159.5000000,150.0700000,150.7800000,2916070
TATN,D,18/05/12,00:00:00,147.8500000,155.5500000,145.0000000,149.4200000,2052420
TATN,D,21/05/12,00:00:00,149.5000000,158.8000000,148.1400000,158.0000000,1618390
TATN,D,22/05/12,00:00:00,158.9500000,161.7600000,153.8800000,155.1700000,1713300
TATN,D,23/05/12,00:00:00,153.5600000,153.7600000,149.0000000,151.9500000,2559420
TATN,D,24/05/12,00:00:00,153.0400000,161.4500000,152.1100000,160.0200000,2679150
TATN,D,25/05/12,00:00:00,159.4900000,164.9700000,159.2400000,163.1900000,1703280
TATN,D,28/05/12,00:00:00,164.2500000,165.9800000,163.5600000,164.7000000,1026320
TATN,D,29/05/12,00:00:00,165.1000000,174.0000000,164.6900000,173.0000000,1558320
TATN,D,30/05/12,00:00:00,172.3000000,172.7800000,164.5500000,168.7500000,2234750
TATN,D,31/05/12,00:00:00,168.0000000,171.8800000,165.0000000,165.7900000,1930080
TATN,D,01/06/12,00:00:00,166.0000000,169.0000000,160.1400000,161.8900000,1981600
TATN,D,04/06/12,00:00:00,159.5700000,170.3800000,158.7200000,169.3900000,1473120
TATN,D,05/06/12,00:00:00,170.9500000,171.6800000,164.9000000,167.0100000,1294620
TATN,D,06/06/12,00:00:00,169.6000000,172.7600000,164.2100000,169.6600000,1807210
TATN,D,07/06/12,00:00:00,170.7000000,176.7800000,164.7000000,175.8500000,2971670
TATN,D,08/06/12,00:00:00,173.2100000,178.8000000,172.4500000,176.4600000,1579400
TATN,D,09/06/12,00:00:00,176.9000000,179.7900000,176.9000000,179.2200000,371360
TATN,D,13/06/12,00:00:00,177.8900000,182.2600000,176.8400000,179.7000000,1547060
TATN,D,14/06/12,00:00:00,178.8000000,179.6700000,175.7100000,177.1300000,887070
TATN,D,15/06/12,00:00:00,178.7100000,186.0000000,178.0300000,184.8600000,4611010
TATN,D,18/06/12,00:00:00,185.8100000,187.9900000,182.3500000,186.2800000,2130280
TATN,D,19/06/12,00:00:00,185.0000000,186.9800000,184.1400000,184.9000000,1191670
TATN,D,20/06/12,00:00:00,185.1900000,187.0000000,182.8100000,185.7900000,1360670
TATN,D,21/06/12,00:00:00,184.1300000,185.2100000,181.1800000,182.8900000,1585830
TATN,D,22/06/12,00:00:00,180.8400000,182.4700000,176.0200000,176.1600000,2177800
TATN,D,25/06/12,00:00:00,176.1600000,176.1600000,169.6000000,170.7000000,1638740
TATN,D,26/06/12,00:00:00,171.1800000,174.6800000,170.2100000,171.5100000,1136030
TATN,D,27/06/12,00:00:00,172.9300000,178.5000000,172.2900000,178.3900000,1424730
TATN,D,28/06/12,00:00:00,178.4400000,179.3000000,169.1600000,171.7500000,1791780
TATN,D,29/06/12,00:00:00,173.7500000,181.5000000,173.7500000,180.2000000,3038110
TATN,D,02/07/12,00:00:00,180.0000000,185.0000000,179.0100000,183.0000000,1357890
TATN,D,03/07/12,00:00:00,183.9300000,189.5700000,183.6100000,188.7000000,2565220
TATN,D,04/07/12,00:00:00,188.6500000,194.8700000,186.5000000,193.6000000,2315510
TATN,D,05/07/12,00:00:00,193.0100000,200.6200000,193.0100000,198.6700000,3397680
TATN,D,06/07/12,00:00:00,197.9100000,199.6700000,193.0300000,194.6500000,2305360
TATN,D,09/07/12,00:00:00,194.7500000,195.9000000,191.4800000,192.7100000,1392830
TATN,D,10/07/12,00:00:00,191.5800000,194.0000000,190.5400000,192.0100000,1594230
TATN,D,11/07/12,00:00:00,191.1000000,192.4600000,185.0500000,186.8300000,2529660
TATN,D,12/07/12,00:00:00,186.0000000,187.5000000,184.0000000,185.6800000,2537480
TATN,D,13/07/12,00:00:00,186.9000000,190.7200000,186.0100000,190.1500000,1692090
TATN,D,16/07/12,00:00:00,190.1500000,192.8900000,186.1000000,186.9000000,1496380
TATN,D,17/07/12,00:00:00,188.0100000,190.6900000,187.3500000,190.3000000,2016050
TATN,D,18/07/12,00:00:00,190.3400000,193.9900000,190.0100000,193.0000000,1744650
TATN,D,19/07/12,00:00:00,194.3800000,198.7100000,193.6400000,197.2100000,2303660
TATN,D,20/07/12,00:00:00,196.6100000,196.6400000,191.2300000,191.7100000,1206370
TATN,D,23/07/12,00:00:00,189.9000000,190.0000000,182.9800000,184.1700000,2187810
TATN,D,24/07/12,00:00:00,185.5000000,186.4000000,178.7000000,185.1500000,1755090
TATN,D,25/07/12,00:00:00,183.5000000,189.4500000,182.7000000,186.7700000,1737780
TATN,D,26/07/12,00:00:00,187.9000000,193.9000000,184.1700000,193.4800000,1813190
TATN,D,27/07/12,00:00:00,194.2000000,200.5000000,192.0000000,200.0500000,3595670
TATN,D,30/07/12,00:00:00,201.0100000,202.5000000,199.2200000,201.9700000,2464930
TATN,D,31/07/12,00:00:00,201.9700000,202.0000000,194.8100000,197.4000000,1936800
TATN,D,01/08/12,00:00:00,196.1000000,199.4700000,196.0900000,198.3100000,1033010
TATN,D,02/08/12,00:00:00,198.1700000,201.7900000,194.3100000,196.2200000,1987210
TATN,D,03/08/12,00:00:00,198.1800000,202.4400000,195.1300000,201.6200000,1574990
TATN,D,06/08/12,00:00:00,201.6000000,206.0000000,200.4200000,203.6000000,2468880
TATN,D,07/08/12,00:00:00,203.2400000,205.5000000,202.4500000,204.5400000,2101180
TATN,D,08/08/12,00:00:00,204.0000000,205.1000000,202.5100000,202.5200000,1083050
TATN,D,09/08/12,00:00:00,203.2200000,204.3000000,198.9100000,202.5300000,1826650
TATN,D,10/08/12,00:00:00,201.1200000,201.9900000,197.4400000,200.9000000,1799870
TATN,D,13/08/12,00:00:00,201.9900000,203.8300000,200.0200000,200.3100000,1218120
TATN,D,14/08/12,00:00:00,200.3000000,204.4000000,200.0000000,204.2600000,1479050
TATN,D,15/08/12,00:00:00,203.1000000,203.9200000,200.2000000,203.1700000,2015990
TATN,D,16/08/12,00:00:00,203.7800000,204.9900000,199.4000000,200.5100000,2178530
TATN,D,17/08/12,00:00:00,201.2200000,202.8800000,200.6300000,201.4800000,885340
TATN,D,20/08/12,00:00:00,202.2400000,202.4800000,198.1000000,199.5800000,1511000
TATN,D,21/08/12,00:00:00,199.6500000,204.7900000,199.5000000,204.0300000,1957610
TATN,D,22/08/12,00:00:00,202.9000000,203.8000000,202.0000000,203.6600000,811000
TATN,D,23/08/12,00:00:00,204.5000000,206.9900000,203.0100000,203.3300000,2635860
TATN,D,24/08/12,00:00:00,202.4200000,204.4400000,201.7600000,203.1900000,1411770
TATN,D,27/08/12,00:00:00,204.1100000,204.6700000,201.5100000,202.3400000,487500
TATN,D,28/08/12,00:00:00,202.0000000,204.2000000,201.3500000,201.9100000,987900
TATN,D,29/08/12,00:00:00,201.9100000,203.2800000,200.2400000,200.2500000,892280
TATN,D,30/08/12,00:00:00,201.0000000,201.7100000,198.0300000,199.1700000,1046190
TATN,D,31/08/12,00:00:00,199.3500000,201.3300000,195.2000000,195.7700000,1547370
TATN,D,03/09/12,00:00:00,196.1900000,198.9900000,195.6200000,196.7000000,1394840
TATN,D,04/09/12,00:00:00,197.3900000,198.3700000,195.8700000,197.2200000,761310
TATN,D,05/09/12,00:00:00,196.2300000,197.8900000,194.0000000,194.0100000,1207630
TATN,D,06/09/12,00:00:00,195.2000000,202.1500000,194.7700000,201.0100000,1764030
TATN,D,07/09/12,00:00:00,201.5000000,205.5500000,201.2700000,204.4200000,3127290
TATN,D,10/09/12,00:00:00,203.5500000,205.4000000,202.6100000,204.1800000,1267670
TATN,D,11/09/12,00:00:00,203.1200000,205.2000000,202.2200000,204.2900000,717480
TATN,D,12/09/12,00:00:00,204.5000000,205.4900000,203.0100000,205.4900000,1837700
TATN,D,13/09/12,00:00:00,204.5500000,206.5000000,203.1500000,206.3000000,1613690
TATN,D,14/09/12,00:00:00,208.4900000,215.5500000,207.8400000,210.3300000,4161570
TATN,D,17/09/12,00:00:00,210.0000000,212.8500000,207.0000000,210.8300000,4068430
TATN,D,18/09/12,00:00:00,209.6600000,211.9500000,209.0500000,210.8900000,1431250
