<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BANE,D,06/12/18,00:00:00,1950.0000000,1970.0000000,1938.0000000,1942.0000000,2229
BANE,D,07/12/18,00:00:00,1957.0000000,1971.0000000,1948.0000000,1957.0000000,3768
BANE,D,10/12/18,00:00:00,1955.0000000,1965.0000000,1942.0000000,1945.0000000,1365
BANE,D,11/12/18,00:00:00,1949.0000000,1963.0000000,1929.0000000,1940.0000000,2606
BANE,D,12/12/18,00:00:00,1942.0000000,1947.0000000,1926.0000000,1935.0000000,3251
BANE,D,13/12/18,00:00:00,1934.0000000,1940.0000000,1922.0000000,1922.0000000,2907
BANE,D,14/12/18,00:00:00,1931.0000000,1934.0000000,1915.0000000,1924.0000000,2012
BANE,D,17/12/18,00:00:00,1922.0000000,1956.0000000,1911.0000000,1921.0000000,4637
BANE,D,18/12/18,00:00:00,1922.0000000,1927.0000000,1909.0000000,1920.0000000,2757
BANE,D,19/12/18,00:00:00,1914.0000000,1933.0000000,1910.0000000,1920.0000000,2896
BANE,D,20/12/18,00:00:00,1910.0000000,1931.0000000,1902.0000000,1905.0000000,4878
BANE,D,21/12/18,00:00:00,1911.0000000,1913.0000000,1875.0000000,1875.0000000,6047
BANE,D,24/12/18,00:00:00,1889.0000000,1901.0000000,1866.0000000,1868.0000000,2622
BANE,D,25/12/18,00:00:00,1860.0000000,1860.0000000,1821.0000000,1843.0000000,3766
BANE,D,26/12/18,00:00:00,1849.0000000,1886.0000000,1842.0000000,1869.0000000,2121
BANE,D,27/12/18,00:00:00,1887.0000000,1890.0000000,1850.0000000,1850.0000000,8009
BANE,D,28/12/18,00:00:00,1862.0000000,1870.0000000,1842.0000000,1855.0000000,2188
BANE,D,29/12/18,00:00:00,1863.0000000,1880.0000000,1863.0000000,1870.0000000,2113
BANE,D,03/01/19,00:00:00,1882.0000000,1884.0000000,1867.0000000,1878.0000000,1415
BANE,D,04/01/19,00:00:00,1882.0000000,1900.0000000,1882.0000000,1900.0000000,1828
BANE,D,08/01/19,00:00:00,1893.0000000,1908.0000000,1888.0000000,1903.0000000,1179
BANE,D,09/01/19,00:00:00,1908.0000000,1908.0000000,1890.0000000,1900.0000000,2377
BANE,D,10/01/19,00:00:00,1912.0000000,1914.0000000,1868.0000000,1908.0000000,5221
BANE,D,11/01/19,00:00:00,1920.0000000,1946.0000000,1920.0000000,1931.0000000,4584
BANE,D,14/01/19,00:00:00,1923.0000000,1930.0000000,1911.0000000,1922.0000000,2811
BANE,D,15/01/19,00:00:00,1925.0000000,1931.0000000,1914.0000000,1918.0000000,2289
BANE,D,16/01/19,00:00:00,1914.0000000,1928.0000000,1906.0000000,1911.0000000,3257
BANE,D,17/01/19,00:00:00,1919.0000000,1925.0000000,1904.0000000,1915.0000000,4388
BANE,D,18/01/19,00:00:00,1919.0000000,1944.0000000,1913.0000000,1931.0000000,5763
BANE,D,21/01/19,00:00:00,1932.0000000,1962.0000000,1927.0000000,1955.0000000,8587
BANE,D,22/01/19,00:00:00,1945.0000000,1957.0000000,1930.0000000,1944.0000000,2656
BANE,D,23/01/19,00:00:00,1944.0000000,1969.0000000,1933.0000000,1950.0000000,6196
BANE,D,24/01/19,00:00:00,1952.0000000,1952.0000000,1919.0000000,1920.0000000,11171
