<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IMOEX,D,07/12/18,00:00:00,2416.0800000,2440.0300000,2412.7000000,2431.2900000,42554020342
IMOEX,D,10/12/18,00:00:00,2419.8300000,2429.7200000,2396.6900000,2396.8400000,33390001203
IMOEX,D,11/12/18,00:00:00,2397.6400000,2408.0700000,2382.2000000,2394.2600000,35151485621
IMOEX,D,12/12/18,00:00:00,2392.1100000,2395.8100000,2366.7600000,2370.3500000,34084868146
IMOEX,D,13/12/18,00:00:00,2368.3000000,2379.1800000,2359.8300000,2378.5000000,32206789538
IMOEX,D,14/12/18,00:00:00,2373.8300000,2373.8300000,2351.6200000,2365.6900000,31496104016
IMOEX,D,17/12/18,00:00:00,2358.7200000,2379.0700000,2354.8700000,2359.1300000,29749112531
IMOEX,D,18/12/18,00:00:00,2341.6000000,2351.3700000,2321.5700000,2350.2900000,44721501607
IMOEX,D,19/12/18,00:00:00,2339.8100000,2360.3600000,2330.7200000,2358.5800000,36660622593
IMOEX,D,20/12/18,00:00:00,2332.7700000,2352.8800000,2317.5700000,2352.8800000,48124567941
IMOEX,D,21/12/18,00:00:00,2347.7000000,2351.1200000,2330.8600000,2347.1700000,44325417892
IMOEX,D,24/12/18,00:00:00,2342.6100000,2346.3600000,2315.4300000,2322.2700000,19330544476
IMOEX,D,25/12/18,00:00:00,2306.6900000,2306.6900000,2258.2700000,2290.8600000,18561229588
IMOEX,D,26/12/18,00:00:00,2296.4800000,2315.9800000,2296.4800000,2308.8500000,14946480535
IMOEX,D,27/12/18,00:00:00,2316.6600000,2340.6300000,2316.6600000,2327.8100000,28111243381
IMOEX,D,28/12/18,00:00:00,2336.8600000,2369.2400000,2335.1100000,2358.5000000,23673897498
IMOEX,D,29/12/18,00:00:00,2359.8400000,2370.0000000,2357.1000000,2369.1700000,5345508728
IMOEX,D,03/01/19,00:00:00,2369.2000000,2387.2100000,2350.4100000,2375.6000000,23065788705
IMOEX,D,04/01/19,00:00:00,2379.5800000,2406.5000000,2379.5800000,2406.5000000,19959820960
IMOEX,D,08/01/19,00:00:00,2397.7700000,2403.6600000,2375.0100000,2389.6900000,26939659761
IMOEX,D,09/01/19,00:00:00,2395.0600000,2414.1300000,2394.6300000,2414.1300000,36438416186
IMOEX,D,10/01/19,00:00:00,2409.7000000,2434.1500000,2398.1600000,2434.1500000,34451721995
IMOEX,D,11/01/19,00:00:00,2436.5800000,2448.1700000,2430.4500000,2444.4500000,36424668133
IMOEX,D,14/01/19,00:00:00,2434.2600000,2440.1500000,2418.6500000,2440.1500000,25155039996
IMOEX,D,15/01/19,00:00:00,2444.8000000,2457.3500000,2423.8600000,2439.5500000,33635616939
IMOEX,D,16/01/19,00:00:00,2440.4700000,2446.1300000,2426.8000000,2434.6000000,32907264250
IMOEX,D,17/01/19,00:00:00,2437.9900000,2447.6400000,2425.5100000,2447.6400000,37213378398
IMOEX,D,18/01/19,00:00:00,2454.1900000,2473.6100000,2451.6500000,2473.6100000,40343793501
IMOEX,D,21/01/19,00:00:00,2475.6900000,2481.8800000,2468.1800000,2468.2500000,27619025346
IMOEX,D,22/01/19,00:00:00,2464.1600000,2469.8700000,2454.1900000,2468.7300000,33716589106
IMOEX,D,23/01/19,00:00:00,2467.7800000,2493.0600000,2466.5900000,2491.4900000,39470414561
IMOEX,D,24/01/19,00:00:00,2487.6500000,2494.0900000,2470.3000000,2482.7100000,49338802888
