<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXOG,D,06/12/18,00:00:00,7202.9400000,7229.9300000,7105.2300000,7181.6600000,17991809457
MOEXOG,D,07/12/18,00:00:00,7185.0400000,7260.8100000,7166.0900000,7231.5200000,18463869617
MOEXOG,D,10/12/18,00:00:00,7190.5900000,7229.3900000,7115.9900000,7125.7500000,11712656566
MOEXOG,D,11/12/18,00:00:00,7130.8200000,7147.0100000,7070.2900000,7109.6700000,13112208908
MOEXOG,D,12/12/18,00:00:00,7104.4300000,7110.0900000,7010.1300000,7011.5800000,14237029120
MOEXOG,D,13/12/18,00:00:00,7026.3900000,7031.9600000,6947.6100000,7007.7300000,12801966959
MOEXOG,D,14/12/18,00:00:00,7001.7900000,7027.1000000,6955.6400000,7002.8000000,9161370390
MOEXOG,D,17/12/18,00:00:00,6989.0100000,7034.8100000,6966.4300000,6980.9800000,9497666665
MOEXOG,D,18/12/18,00:00:00,6929.4100000,6933.0800000,6845.0600000,6916.2500000,17564029790
MOEXOG,D,19/12/18,00:00:00,6875.7800000,6921.2900000,6848.8300000,6914.7600000,12928912075
MOEXOG,D,20/12/18,00:00:00,6820.4400000,6884.5600000,6784.3700000,6884.5600000,17401576572
MOEXOG,D,21/12/18,00:00:00,6856.4400000,6892.0500000,6830.4100000,6872.8600000,21620954670
MOEXOG,D,24/12/18,00:00:00,6872.7800000,6884.0300000,6798.9800000,6823.5500000,6886837538
MOEXOG,D,25/12/18,00:00:00,6763.2100000,6763.2100000,6641.1100000,6734.9700000,5397730527
MOEXOG,D,26/12/18,00:00:00,6766.6100000,6822.6800000,6751.2400000,6805.3900000,3713175869
MOEXOG,D,27/12/18,00:00:00,6894.6600000,6894.6600000,6844.7400000,6862.2100000,10392300554
MOEXOG,D,28/12/18,00:00:00,6901.3900000,6992.5900000,6879.3200000,6962.9400000,9074760867
MOEXOG,D,29/12/18,00:00:00,6978.4600000,7020.8700000,6955.9100000,7018.0000000,1788931720
MOEXOG,D,03/01/19,00:00:00,6982.2800000,7030.7800000,6949.1000000,7000.7900000,8562531760
MOEXOG,D,04/01/19,00:00:00,7015.3400000,7082.1700000,7014.5900000,7082.1700000,7120575962
MOEXOG,D,08/01/19,00:00:00,7019.4700000,7041.3400000,6952.0000000,6996.7800000,11511729024
MOEXOG,D,09/01/19,00:00:00,7019.5200000,7038.9400000,6993.1400000,7018.4900000,11325427166
MOEXOG,D,10/01/19,00:00:00,7003.7100000,7107.6300000,6966.9400000,7107.6300000,11499624424
MOEXOG,D,11/01/19,00:00:00,7108.1000000,7135.0900000,7082.1900000,7130.1800000,10660606801
MOEXOG,D,14/01/19,00:00:00,7089.5600000,7118.3800000,7057.4600000,7118.3800000,7703077478
MOEXOG,D,15/01/19,00:00:00,7135.1600000,7168.6300000,7056.1500000,7107.1000000,11453829560
MOEXOG,D,16/01/19,00:00:00,7116.4800000,7116.9600000,7050.7400000,7064.2100000,10051134864
MOEXOG,D,17/01/19,00:00:00,7065.1300000,7084.3200000,7016.8500000,7084.3200000,11042241809
MOEXOG,D,18/01/19,00:00:00,7102.9500000,7135.7100000,7075.3900000,7135.7100000,11194023042
MOEXOG,D,21/01/19,00:00:00,7146.6200000,7151.3300000,7113.6900000,7119.0800000,6328678241
