<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SIBN,D,06/12/18,00:00:00,380.0000000,392.3000000,376.3000000,380.0000000,921290
SIBN,D,07/12/18,00:00:00,381.3000000,385.6000000,377.0000000,382.0000000,709250
SIBN,D,10/12/18,00:00:00,380.8000000,381.0000000,371.0000000,371.0000000,571580
SIBN,D,11/12/18,00:00:00,373.0000000,376.4000000,361.0000000,366.7000000,618550
SIBN,D,12/12/18,00:00:00,367.6000000,370.6000000,363.6000000,365.6000000,329970
SIBN,D,13/12/18,00:00:00,365.6000000,367.0000000,361.0000000,363.8000000,363260
SIBN,D,14/12/18,00:00:00,363.6000000,370.0000000,361.2000000,362.8000000,442960
SIBN,D,17/12/18,00:00:00,363.0000000,368.0000000,361.2000000,363.1000000,402370
SIBN,D,18/12/18,00:00:00,361.6000000,362.5000000,352.6000000,354.2000000,750390
SIBN,D,19/12/18,00:00:00,352.1000000,355.2000000,350.7000000,350.7000000,598120
SIBN,D,20/12/18,00:00:00,350.6000000,351.5000000,346.0000000,350.0000000,583570
SIBN,D,21/12/18,00:00:00,349.5000000,359.5000000,347.7000000,353.0000000,540090
SIBN,D,24/12/18,00:00:00,353.5000000,358.6000000,353.3000000,355.4000000,436650
SIBN,D,25/12/18,00:00:00,353.4000000,355.0000000,344.9000000,351.5000000,505500
SIBN,D,26/12/18,00:00:00,350.2000000,359.8000000,349.4000000,359.5000000,806940
SIBN,D,27/12/18,00:00:00,344.6000000,349.2000000,343.6000000,344.0000000,827480
SIBN,D,28/12/18,00:00:00,343.6000000,348.4000000,341.2000000,344.1000000,452380
SIBN,D,29/12/18,00:00:00,344.2000000,347.0000000,343.6000000,346.7000000,183890
SIBN,D,03/01/19,00:00:00,344.0000000,349.4000000,344.0000000,345.8000000,183410
SIBN,D,04/01/19,00:00:00,347.8000000,348.6000000,345.5000000,348.5000000,259370
SIBN,D,08/01/19,00:00:00,349.1000000,352.9000000,347.1000000,348.8000000,228040
SIBN,D,09/01/19,00:00:00,349.9000000,353.0000000,349.6000000,352.0000000,258880
SIBN,D,10/01/19,00:00:00,352.9000000,356.0000000,350.3000000,354.8000000,313800
SIBN,D,11/01/19,00:00:00,354.4000000,359.8000000,354.4000000,357.7000000,413300
SIBN,D,14/01/19,00:00:00,357.8000000,357.8000000,351.7000000,355.7000000,297290
SIBN,D,15/01/19,00:00:00,356.0000000,357.8000000,355.1000000,355.4000000,227920
SIBN,D,16/01/19,00:00:00,356.0000000,356.6000000,348.0000000,351.0000000,1018830
SIBN,D,17/01/19,00:00:00,352.4000000,352.4000000,343.9000000,345.0000000,694250
SIBN,D,18/01/19,00:00:00,347.8000000,348.5000000,344.4000000,346.0000000,530540
SIBN,D,21/01/19,00:00:00,347.4000000,348.8000000,344.0000000,344.0000000,303440
SIBN,D,22/01/19,00:00:00,345.0000000,346.2000000,343.0000000,344.2000000,311550
SIBN,D,23/01/19,00:00:00,344.0000000,351.0000000,343.5000000,349.3000000,658760
SIBN,D,24/01/19,00:00:00,349.8000000,350.9000000,343.7000000,344.9000000,476860
SIBN,D,25/01/19,00:00:00,348.2000000,348.3000000,343.0000000,343.0000000,339580
SIBN,D,28/01/19,00:00:00,345.6000000,345.6000000,340.6000000,340.6000000,1318450
SIBN,D,29/01/19,00:00:00,340.4000000,343.1000000,328.0000000,340.6000000,596010
SIBN,D,30/01/19,00:00:00,341.0000000,346.5000000,339.2000000,345.5000000,584660
SIBN,D,31/01/19,00:00:00,347.2000000,350.4000000,342.0000000,342.0000000,763930
SIBN,D,01/02/19,00:00:00,343.0000000,345.8500000,342.2500000,345.4500000,482940
SIBN,D,04/02/19,00:00:00,345.8000000,347.5000000,343.5000000,345.1500000,305850
SIBN,D,05/02/19,00:00:00,345.0500000,346.8500000,343.0000000,345.7000000,281320
SIBN,D,06/02/19,00:00:00,345.7500000,346.9000000,344.5000000,345.7000000,184510
SIBN,D,07/02/19,00:00:00,345.4500000,346.3000000,340.4000000,341.9500000,406960
SIBN,D,08/02/19,00:00:00,341.1000000,343.8000000,340.5000000,341.2000000,262020
SIBN,D,11/02/19,00:00:00,343.4000000,344.6000000,341.1000000,341.2000000,275620
SIBN,D,12/02/19,00:00:00,341.7500000,342.8500000,340.6500000,341.0000000,287960
SIBN,D,13/02/19,00:00:00,341.9500000,342.2000000,338.0500000,339.0000000,313930
SIBN,D,14/02/19,00:00:00,336.5000000,344.9000000,333.6500000,343.0000000,572790
SIBN,D,15/02/19,00:00:00,344.5000000,345.1000000,342.3000000,343.4000000,442700
SIBN,D,18/02/19,00:00:00,343.7000000,345.1000000,342.2500000,343.1500000,396250
SIBN,D,19/02/19,00:00:00,342.8000000,344.0000000,337.1000000,337.7500000,242980
SIBN,D,20/02/19,00:00:00,340.0000000,340.9500000,336.2000000,336.8000000,753420
SIBN,D,21/02/19,00:00:00,338.8500000,343.5000000,334.9000000,335.4500000,925650
SIBN,D,22/02/19,00:00:00,336.0000000,337.7000000,335.0000000,335.9000000,354890
SIBN,D,25/02/19,00:00:00,336.4500000,337.0000000,334.0000000,334.8500000,532090
SIBN,D,26/02/19,00:00:00,334.5500000,335.5000000,330.6000000,331.2500000,453550
SIBN,D,27/02/19,00:00:00,331.6500000,334.1000000,326.0500000,327.6000000,709610
SIBN,D,28/02/19,00:00:00,328.2000000,329.0000000,322.2000000,327.9000000,477930
SIBN,D,01/03/19,00:00:00,328.6000000,332.6000000,328.2000000,331.0000000,499730
SIBN,D,04/03/19,00:00:00,331.4000000,334.9500000,329.0000000,334.0000000,292080
SIBN,D,05/03/19,00:00:00,332.6000000,334.8000000,328.4000000,332.0000000,316400
SIBN,D,06/03/19,00:00:00,332.6000000,332.9500000,330.0500000,332.0000000,229310
SIBN,D,07/03/19,00:00:00,331.6000000,331.6000000,328.1000000,329.9000000,245210
SIBN,D,11/03/19,00:00:00,328.0000000,330.6500000,324.6500000,325.0000000,478970
SIBN,D,12/03/19,00:00:00,326.0000000,327.4500000,321.7000000,323.1500000,530050
SIBN,D,13/03/19,00:00:00,324.0000000,324.9000000,321.1000000,322.5000000,203260
SIBN,D,14/03/19,00:00:00,323.1000000,324.2000000,317.7500000,318.5000000,544010
SIBN,D,15/03/19,00:00:00,319.4500000,319.4500000,312.1500000,313.8000000,546730
SIBN,D,18/03/19,00:00:00,314.7000000,319.9500000,313.5500000,318.9500000,509040
SIBN,D,19/03/19,00:00:00,320.0000000,326.4500000,319.0500000,323.7000000,641530
SIBN,D,20/03/19,00:00:00,323.7500000,329.0000000,323.1500000,327.7500000,605570
SIBN,D,21/03/19,00:00:00,327.8500000,333.0000000,327.8500000,332.5500000,880710
SIBN,D,22/03/19,00:00:00,332.7500000,333.0000000,321.9000000,324.1000000,841820
SIBN,D,25/03/19,00:00:00,323.1000000,328.0000000,321.7000000,322.5500000,370170
SIBN,D,26/03/19,00:00:00,322.2000000,324.6500000,320.5000000,322.8500000,181030
SIBN,D,27/03/19,00:00:00,323.1000000,324.0000000,322.4500000,322.4500000,111600
SIBN,D,28/03/19,00:00:00,323.0000000,323.5000000,317.6000000,319.6500000,346860
SIBN,D,29/03/19,00:00:00,320.4500000,325.5000000,319.5500000,324.2500000,362180
