"time","BANE.CLOSE","SIBN.CLOSE","LKOH.CLOSE","ROSN.CLOSE","SNGS.CLOSE","TATN.CLOSE","IMOEX.CLOSE","MOEXOG.CLOSE"
2012-01-03,1380,150.18,1731,218,26.138,172.01,1444.81,3069.36
2012-01-04,1375.6,148.7,1722.1,222.4,26.13,173.24,1450.64,3066.9
2012-01-05,1374.9,148.93,1723.2,218.82,25.841,168.91,1439.33,3045.24
2012-01-06,1380,149,1738.4,221.19,26,170,1438.95,3059.49
2012-01-09,1370,148.5,1754.3,222.22,25.92,172.2,1446.44,3071.58
2012-01-10,1381,150.52,1783.7,227.11,26.35,174,1473.96,3134.65
2012-01-11,1375.6,149.5,1782,227.5,26.288,169.9,1470.24,3123.68
2012-01-12,1375,149,1761.1,226,26.301,168.61,1463.17,3101.03
2012-01-13,1389,146.18,1751.2,226,26.05,167.5,1459.41,3100.29
2012-01-16,1405,145.73,1768.2,227.52,25.997,168,1465.91,3099.22
2012-01-17,1425,147.63,1795,230.05,26.26,169.5,1484.72,3140.67
2012-01-18,1454.9,148.5,1808,230.94,26.8,171.82,1496.35,3169.33
2012-01-19,1465,150.82,1820,232,27.655,174.57,1505.75,3195.78
2012-01-20,1489.2,150.6,1806,230.31,27.4,176.97,1490.41,3180.58
2012-01-23,1494,150.06,1815.4,233.9,27.811,177.69,1496.09,3205.1
2012-01-24,1495,150.25,1783,228.31,28.005,175,1489.41,3181.71
2012-01-25,1510,150.34,1780,227.45,28.2,173.6,1504.23,3191.41
2012-01-26,1519.9,150.42,1768,228.9,28.261,176.24,1512.08,3196.11
2012-01-27,1505,150.77,1765,227.19,27.565,173.53,1511.61,3166.64
2012-01-30,1495,148.55,1769.1,224,27.517,170.24,1500.51,3147.73
2012-01-31,1550,148.57,1766.3,224.83,28.407,177.55,1510.91,3187.77
2012-02-01,1569.9,150.02,1784,227.39,28.814,177.5,1544.64,3217
2012-02-02,1512,149.75,1797.5,230.25,28.806,178.42,1540.7,3225.11
2012-02-03,1550,149.3,1814.9,233.91,29.35,179.84,1569.18,3260.53
2012-02-06,1537,148.67,1812,229.89,29.5,179.06,1563.1,3258.52
2012-02-07,1580,148.92,1793.5,223.94,29.3,177.97,1556.03,3227.49
2012-02-08,1635,149.48,1817.1,216.7,29.34,177.24,1554.96,3223.34
2012-02-09,1648,150.8,1806,212.1,29.038,176.27,1543.16,3197.85
2012-02-10,1704,152.15,1810.6,211.61,27.975,173.9,1524.92,3175.54
2012-02-13,1752,152.99,1842.7,216.17,28.52,174.94,1561.45,3228.3
2012-02-14,1749,154.64,1865,215.02,28.65,176.5,1556.22,3241.82
2012-02-15,1727.2,154.45,1880,218.85,29.217,179.93,1573.42,3271.56
2012-02-16,1720,153.49,1879.9,219.47,29.039,180.9,1578.1,3260.98
2012-02-17,1730,154.5,1875.1,218.39,28.74,183.49,1569.42,3252.33
2012-02-20,1730,153.8,1879,219.36,29.101,187.98,1576.68,3278.35
2012-02-21,1730.8,152.58,1838,219.75,28.75,187.71,1559.81,3241.88
2012-02-22,1728,151.89,1777.2,217.14,28.611,186.72,1537.5,3205.56
2012-02-24,1726,155.13,1872.1,225.69,30.577,191.22,1599.92,3328.14
2012-02-27,1755,155.62,1865.9,226.39,30.225,188.72,1595.57,3311.86
2012-02-28,1780,155.41,1831,224.6,29.899,187.54,1579.28,3285.43
2012-02-29,1822.5,156.95,1875.1,225.99,30.35,194.45,1594.32,3339.02
2012-03-01,1825,156.89,1870.5,222.3,30.499,194.4,1598.83,3324.85
2012-03-02,1877.9,156.45,1892,224.98,30.58,194.7,1614.15,3354.39
2012-03-05,1899.9,156.99,1909,227.7,31.1,195.63,1622.44,3398.81
