"","2.5%.x","Mean.x","97.5%.x","days_to_event","2.5%.y","Mean.y","97.5%.y","2.5%","Mean","97.5%"
"1",0,0,0,"-2",-0.00640075358055568,0.0209474977353601,0.0686983687258907,-0.0012747919207188,0.0595447223130027,0.162448516878715
"2",-0.00268630884673111,0.00234688436213023,0.00876341180991775,"-1",-0.0070382722482842,0.0233221968727272,0.0705657760812959,0.0042396736321312,0.0619171267041278,0.162933284893569
"3",-0.0131720636951204,-0.00158811138854534,0.0103162780996614,"0",-0.0140413232314429,0.0194419664950513,0.0638600224499724,0.00373776539904581,0.0580514332520193,0.155480242920897
"4",-0.0275085656753385,-0.0104065478774245,0.00659210328998327,"1",-0.0228171416041537,0.0106558803954421,0.0487245022297067,-0.00144517506681913,0.0492640511784354,0.138946592353969
"5",-0.0419010193432732,-0.0161473721166162,0.00548260499061179,"2",-0.0229491084581413,0.00494814278148544,0.0333539810985015,-0.00265378898696242,0.0435638754862174,0.122769390353587
"6",-0.0419701337748654,-0.0156219454602562,0.00698568600210117,"3",-0.0230176851575597,0.0055084562060671,0.0344927593061062,-0.00239896683366467,0.0441317085337404,0.123190686190139
"7",NA,NA,NA,"-6",0,0,0,-0.000918513411837421,0.0385237637240301,0.0949095959869895
"8",NA,NA,NA,"-5",-0.000616757438789743,0.0215801650322255,0.0617855940388589,0.000712303158782349,0.0601658846768942,0.15660603743503
"9",NA,NA,NA,"-4",-0.0021322844430745,0.0206647025387411,0.0615121002872452,-0.00110494892169661,0.0592588019481741,0.156645045532401
"10",NA,NA,NA,"-3",-0.00567728660300776,0.018304362418705,0.0602078282673709,-0.00379398006392649,0.0568849777258822,0.155653201667077
"11",NA,NA,NA,"4",-0.0258614184136779,0.00647696024406233,0.0393882593394536,-0.00444461199529811,0.0451037238945194,0.125143536454613
"12",NA,NA,NA,"5",-0.0292224975415786,0.0142457405089469,0.0640210285560716,-0.00475083842182846,0.0529050360793272,0.15165894668588
"13",NA,NA,NA,"6",-0.0251361385886063,0.0123052617216707,0.0520188443935683,-0.00335152962519166,0.0509605277262062,0.141083644562913
"14",NA,NA,NA,"7",-0.0253409858771408,0.0150164266112527,0.0643364056383185,-0.00771209566003721,0.0536732455816376,0.158154758590442
"15",NA,NA,NA,"-14",NA,NA,NA,0,0,0
"16",NA,NA,NA,"-13",NA,NA,NA,-0.012409563983855,-0.00749369401347866,-0.00266022324547161
"17",NA,NA,NA,"-12",NA,NA,NA,-0.0105919104709149,-0.00609440017861911,-0.00185383563309947
"18",NA,NA,NA,"-11",NA,NA,NA,-0.0109395860473904,-0.00731181376743581,-0.00396760729659996
"19",NA,NA,NA,"-10",NA,NA,NA,-0.0134244947397114,-0.00702936085547121,0.00164698128128721
"20",NA,NA,NA,"-9",NA,NA,NA,-0.00160208666839115,0.0146515154820878,0.0390946132950936
"21",NA,NA,NA,"-8",NA,NA,NA,0.000281305730207111,0.0169696473627921,0.0404013414575606
"22",NA,NA,NA,"-7",NA,NA,NA,0.00117578736232795,0.019140826710482,0.0445107735589329
"23",NA,NA,NA,"8",NA,NA,NA,-0.0162655695076594,0.0480056493524605,0.155081113748712
"24",NA,NA,NA,"9",NA,NA,NA,-0.0151270446676215,0.0445968640057107,0.144435380748704
"25",NA,NA,NA,"10",NA,NA,NA,-0.0152837739748466,0.0433120321585123,0.143252527352724
"26",NA,NA,NA,"11",NA,NA,NA,-0.0169421174531398,0.0401989452246654,0.14051796273125
"27",NA,NA,NA,"12",NA,NA,NA,-0.0180100134588524,0.0422989692855909,0.13732395223887
"28",NA,NA,NA,"13",NA,NA,NA,-0.0119419345097033,0.0524162224633173,0.159714053107294
"29",NA,NA,NA,"14",NA,NA,NA,-0.0067171882254196,0.0623223586788541,0.177870208897528
"30",NA,NA,NA,"15",NA,NA,NA,-0.00545556800688992,0.0657733679735841,0.183075205696851
