"","2.5%.x","Mean.x","97.5%.x","days_to_event","2.5%.y","Mean.y","97.5%.y","2.5%","Mean","97.5%"
"1",0,0,0,"-2",-0.0230713471605527,-0.010524867501001,0.0055603297625403,-0.0623369544519355,-0.0311926832291821,-0.00411945491073409
"2",-0.0129129796188887,-0.00314092302705469,0.00203703245198693,"-1",-0.0359930778406745,-0.0136708185439862,0.00701739909498773,-0.060331119377344,-0.0343465373887543,-0.00266094883956116
"3",-0.0091376538006373,-0.00623971915688075,-0.00247613764190239,"0",-0.0322267470124869,-0.0167712291704841,0.00310154676528288,-0.0695046918350552,-0.0374645349021453,-0.0066042909542879
"4",-0.00695131605895514,0.00100915650543724,0.00562288136888977,"1",-0.0300479377151809,-0.00951970928948155,0.00995000762147815,-0.0568074041507451,-0.0302378237821115,0.000207748423238282
"5",-0.0194538874448757,0.000652879024673729,0.0191695064704872,"2",-0.0425581087766853,-0.0098773264028066,0.00784924792806509,-0.046631766535533,-0.0306133869417055,-0.00191646091476431
"6",-0.0182055290979928,0.00329184135827413,0.0261855145769064,"3",-0.041317906746779,-0.0072402690329238,0.0120796872084422,-0.0453976005872486,-0.0279957251207841,-0.00228237574110456
"7",NA,NA,NA,"-6",0,0,0,-0.0481886446186629,-0.02056969749098,-0.00402891483677762
"8",NA,NA,NA,"-5",-0.0102860335716198,-0.00136203194578583,0.00621217224733979,-0.0482229863843189,-0.0219579980495502,-0.00332820581908247
"9",NA,NA,NA,"-4",-0.0228580497963405,-0.0103389430387787,0.00588033675884005,-0.0622682709206234,-0.0309537171026869,-0.00369412064542271
"10",NA,NA,NA,"-3",-0.0229646984784466,-0.0104891826000065,0.00554850127034031,-0.0623026126862795,-0.031124282730496,-0.00406003547176296
"11",NA,NA,NA,"4",-0.041424555428885,-0.00739050859415155,0.0120674526953648,-0.0455090408786798,-0.0281662907485933,-0.00264829056744481
"12",NA,NA,NA,"5",-0.0415312041109911,-0.00685137293854469,0.0120552181822873,-0.0456204811701109,-0.0276518945517352,-0.000959319919783555
"13",NA,NA,NA,"6",-0.0204822331183798,-0.00254937254385957,0.00702523059685797,-0.0414303059018946,-0.0233702755461769,-0.00409910789544934
"14",NA,NA,NA,"7",-0.0147703481944057,8.44912715765138e-06,0.00799056503858159,-0.0404853588416845,-0.0208404857036181,-0.00316280630300807
"15",NA,NA,NA,"-14",NA,NA,NA,0,0,0
"16",NA,NA,NA,"-13",NA,NA,NA,-0.00254409045206674,-0.00214678084554151,-0.00182025480430626
"17",NA,NA,NA,"-12",NA,NA,NA,-0.0242119507514647,-0.0138268644950835,-0.00582165216599873
"18",NA,NA,NA,"-11",NA,NA,NA,-0.0328777465813231,-0.0173374477437,-0.00618756699233898
"19",NA,NA,NA,"-10",NA,NA,NA,-0.0329120883469791,-0.0175080133715092,-0.00655348181867922
"20",NA,NA,NA,"-9",NA,NA,NA,-0.0329464301126352,-0.0149015045952897,0.00141182656706635
"21",NA,NA,NA,"-8",NA,NA,NA,-0.0384102477666963,-0.0170030080941074,-0.000611855561933601
"22",NA,NA,NA,"-7",NA,NA,NA,-0.041514778118505,-0.0202442909069618,-0.00748044890752658
"23",NA,NA,NA,"8",NA,NA,NA,-0.0481904647356655,-0.0197608663687124,0.00117052544981348
"24",NA,NA,NA,"9",NA,NA,NA,-0.0428003057210474,-0.0107654592979162,0.0228471578112764
"25",NA,NA,NA,"10",NA,NA,NA,-0.0479584108321026,-0.0173324046874744,0.00867034157999733
"26",NA,NA,NA,"11",NA,NA,NA,-0.0479927525977586,-0.0175029703152835,0.00855890128856622
"27",NA,NA,NA,"12",NA,NA,NA,-0.0480270943634146,-0.01729393313214,0.00844746099713511
"28",NA,NA,NA,"13",NA,NA,NA,-0.0500594821066796,-0.00182039448958157,0.0474819979435668
"29",NA,NA,NA,"14",NA,NA,NA,-0.0540481887110098,0.00300272850998208,0.0639194460673793
"30",NA,NA,NA,"15",NA,NA,NA,-0.051273910240962,0.00945663196352811,0.0843597817006072
