Id;Region;area_sq_km;perc_terr_rf;fed_okrug
1;Республика Саха (Якутия);3 083 523;18,01;Дальневосточный
2;Красноярский край;2 366 797;13,82;Сибирский
3;Хабаровский край;787 633;4,60;Дальневосточный
4;Иркутская область;774 846;4,52;Сибирский
5;Ямало-Ненецкий автономный округ;769 250;4,49;Уральский
6;Чукотский автономный округ;721 481;4,21;Дальневосточный
7;Ханты-Мансийский автономный округ - Югра;534 801;3,12;Уральский
8;Камчатский край;464 275;2,71;Дальневосточный
9;Магаданская область;462 464;2,70;Дальневосточный
10;Забайкальский край;431 892;2,52;Сибирский
11;Республика Коми;416 774;2,43;Северо-Западный
12;Архангельская область;413 103;2,41;Северо-Западный
13;Амурская область;361 908;2,11;Дальневосточный
14;Республика Бурятия;351 334;2,05;Сибирский
15;Томская область;314 391;1,84;Сибирский
16;Свердловская область;194 307;1,13;Уральский
17;Республика Карелия;180 520;1,05;Северо-Западный
18;Новосибирская область;177 756;1,04;Сибирский
19;Ненецкий автономный округ;176 810;1,03;Северо-Западный
20;Республика Тыва;168 604;0,98;Сибирский
21;Алтайский край;167 996;0,98;Сибирский
22;Приморский край;164 673;0,96;Дальневосточный
23;Пермский край;160 236;0,94;Приволжский
24;Тюменская область;160 122;0,94;Уральский
25;Мурманская область;144 902;0,85;Северо-Западный
26;Вологодская область;144 527;0,84;Северо-Западный
27;Республика Башкортостан;142 947;0,83;Приволжский
28;Омская область;141 140;0,82;Сибирский
29;Оренбургская область;123 702;0,72;Приволжский
30;Кировская область;120 374;0,70;Приволжский
31;Волгоградская область;112 877;0,66;Южный
32;Саратовская область;101 240;0,59;Приволжский
33;Ростовская область;100 967;0,59;Южный
34;Кемеровская область;95 725;0,56;Сибирский
35;Республика Алтай;92 903;0,54;Сибирский
36;Челябинская область;88 529;0,52;Уральский
37;Сахалинская область;87 101;0,51;Дальневосточный
38;Тверская область;84 201;0,49;Центральный
39;Ленинградская область;83 908;0,49;Северо-Западный
40;Нижегородская область;76 624;0,45;Приволжский
41;Краснодарский край;75 485;0,44;Южный
42;Республика Калмыкия;74 731;0,44;Южный
43;Курганская область;71 488;0,42;Уральский
44;Республика Татарстан;67 847;0,40;Приволжский
45;Ставропольский край;66 160;0,39;Северо-Кавказский
46;Республика Хакасия;61 569;0,36;Сибирский
47;Костромская область;60 211;0,35;Центральный
48;Псковская область;55 399;0,32;Северо-Западный
49;Новгородская область;54 501;0,32;Северо-Западный
50;Самарская область;53 565;0,31;Приволжский
51;Воронежская область;52 216;0,30;Центральный
52;Республика Дагестан;50 270;0,29;Северо-Кавказский
53;Смоленская область;49 779;0,29;Центральный
54;Астраханская область;49 024;0,29;Южный
55;Московская область;44 329;0,26;Центральный
56;Пензенская область;43 352;0,25;Приволжский
57;Удмуртская Республика;42 061;0,25;Приволжский
58;Рязанская область;39 605;0,23;Центральный
59;Ульяновская область;37 181;0,22;Приволжский
60;Еврейская автономная область;36 271;0,21;Дальневосточный
61;Ярославская область;36 177;0,21;Центральный
62;Брянская область;34 857;0,20;Центральный
63;Тамбовская область;34 462;0,20;Центральный
64;Курская область;29 997;0,18;Центральный
65;Калужская область;29 777;0,17;Центральный
66;Владимирская область;29 084;0,17;Центральный
67;Белгородская область;27 134;0,16;Центральный
68;Республика Мордовия;26 128;0,15;Приволжский
69;Республика Крым;26 081;0,15;Южный
70;Тульская область;25 679;0,15;Центральный
71;Орловская область;24 652;0,14;Центральный
72;Липецкая область;24 047;0,14;Центральный
73;Республика Марий Эл;23 375;0,14;Приволжский
74;Ивановская область;21 437;0,13;Центральный
75;Чувашская республика;18 343;0,11;Приволжский
76;Чеченская республика;15 647;0,09;Северо-Кавказский
77;Калининградская область;15 125;0,09;Северо-Западный
78;Карачаево-Черкесская республика;14 277;0,08;Северо-Кавказский
79;Кабардино-Балкарская Республика;12 470;0,07;Северо-Кавказский
80;Республика Северная Осетия - Алания;7 987;0,05;Северо-Кавказский
81;Республика Адыгея;7 792;0,05;Южный
82;Республика Ингушетия;3 628;0,02;Северо-Кавказский
83;Москва;2 561;0,01;Центральный
84;Санкт-Петербург;1 403;0,01;Северо-Западный
85;Севастополь;864;0,01;Южный
